row_number,uid,original_document_id,type
1,UID-0001,HHS-ONC-2026-0001-0348,real
2,UID-0002,HHS-ONC-2026-0001-0066,real
3,UID-0003,HHS-ONC-2026-0001-0293,real
4,UID-0004,HHS-ONC-2026-0001-0233,real
5,UID-0005,HHS-ONC-2026-0001-0308,real
6,UID-0006,HHS-ONC-2026-0001-0002,real
7,UID-0007,HHS-ONC-2026-0001-0355,real
8,UID-0008,HHS-ONC-2026-0001-0050,real
9,UID-0009,HHS-ONC-2026-0001-0412,real
10,UID-0010,SYNTH-0067,synthetic
11,UID-0011,HHS-ONC-2026-0001-0246,real
12,UID-0012,HHS-ONC-2026-0001-0272,real
13,UID-0013,HHS-ONC-2026-0001-0058,real
14,UID-0014,HHS-ONC-2026-0001-0034,real
15,UID-0015,HHS-ONC-2026-0001-0373,real
16,UID-0016,SYNTH-0027,synthetic
17,UID-0017,HHS-ONC-2026-0001-0069,real
18,UID-0018,HHS-ONC-2026-0001-0413,real
19,UID-0019,HHS-ONC-2026-0001-0014,real
20,UID-0020,HHS-ONC-2026-0001-0242,real
21,UID-0021,HHS-ONC-2026-0001-0365,real
22,UID-0022,HHS-ONC-2026-0001-0320,real
23,UID-0023,HHS-ONC-2026-0001-0375,real
24,UID-0024,HHS-ONC-2026-0001-0433,real
25,UID-0025,HHS-ONC-2026-0001-0306,real
26,UID-0026,SYNTH-0035,synthetic
27,UID-0027,SYNTH-0082,synthetic
28,UID-0028,HHS-ONC-2026-0001-0009,real
29,UID-0029,HHS-ONC-2026-0001-0140,real
30,UID-0030,HHS-ONC-2026-0001-0052,real
31,UID-0031,HHS-ONC-2026-0001-0386,real
32,UID-0032,HHS-ONC-2026-0001-0171,real
33,UID-0033,HHS-ONC-2026-0001-0150,real
34,UID-0034,HHS-ONC-2026-0001-0195,real
35,UID-0035,HHS-ONC-2026-0001-0033,real
36,UID-0036,SYNTH-0078,synthetic
37,UID-0037,HHS-ONC-2026-0001-0095,real
38,UID-0038,HHS-ONC-2026-0001-0023,real
39,UID-0039,HHS-ONC-2026-0001-0011,real
40,UID-0040,HHS-ONC-2026-0001-0204,real
41,UID-0041,HHS-ONC-2026-0001-0266,real
42,UID-0042,HHS-ONC-2026-0001-0099,real
43,UID-0043,SYNTH-0037,synthetic
44,UID-0044,HHS-ONC-2026-0001-0064,real
45,UID-0045,HHS-ONC-2026-0001-0356,real
46,UID-0046,HHS-ONC-2026-0001-0019,real
47,UID-0047,HHS-ONC-2026-0001-0234,real
48,UID-0048,SYNTH-0010,synthetic
49,UID-0049,HHS-ONC-2026-0001-0416,real
50,UID-0050,HHS-ONC-2026-0001-0222,real
51,UID-0051,HHS-ONC-2026-0001-0273,real
52,UID-0052,HHS-ONC-2026-0001-0074,real
53,UID-0053,HHS-ONC-2026-0001-0126,real
54,UID-0054,HHS-ONC-2026-0001-0319,real
