row_number,uid,original_document_id,type,gpt-5.4-mini,,,,gemini-3.1-flash-lite-preview-redo,,,,gemini-3.1-flash-lite-preview,,,,claude-haiku-4-5,,,,gemini-3.1-pro-preview,,,,AI-Generated?
1,UID-0001,HHS-ONC-2026-0001-0286,real,78,real,1,,85,real,1,,85,real,1,,85,real,1,,90,real,1,,FALSE
2,UID-0002,HHS-ONC-2026-0001-0016,real,78,real,1,,80,real,1,,80,real,1,,82,real,1,,95,real,1,,FALSE
3,UID-0003,HHS-ONC-2026-0001-0350,real,78,real,1,,85,real,1,,85,real,1,,25,synthetic,0,,95,real,1,,FALSE
4,UID-0004,SYNTH-0016,synthetic,28,synthetic,1,,85,real,0,,85,real,0,,75,real,0,,20,synthetic,1,,FALSE
5,UID-0005,HHS-ONC-2026-0001-0020,real,28,synthetic,0,,85,real,1,,85,real,1,,75,real,1,,95,real,1,,FALSE
6,UID-0006,HHS-ONC-2026-0001-0181,real,72,real,1,,85,real,1,,85,real,1,,85,real,1,,20,synthetic,0,,FALSE
7,UID-0007,HHS-ONC-2026-0001-0159,real,88,real,1,,80,real,1,,85,real,1,,82,real,1,,100,real,1,,FALSE
8,UID-0008,HHS-ONC-2026-0001-0127,real,18,synthetic,0,,85,real,1,,85,real,1,,25,synthetic,0,,100,real,1,,FALSE
9,UID-0009,HHS-ONC-2026-0001-0208,real,78,real,1,,80,real,1,,85,real,1,,25,synthetic,0,,100,real,1,,FALSE
10,UID-0010,HHS-ONC-2026-0001-0153,real,92,real,1,,80,real,1,,85,real,1,,82,real,1,,95,real,1,,FALSE
11,UID-0011,HHS-ONC-2026-0001-0321,real,92,real,1,,95,real,1,,80,real,1,,85,real,1,,90,real,1,,FALSE
12,UID-0012,HHS-ONC-2026-0001-0005,real,18,synthetic,0,,80,real,1,,20,synthetic,0,,75,real,1,,95,real,1,,FALSE
13,UID-0013,HHS-ONC-2026-0001-0370,real,78,real,1,,80,real,1,,80,real,1,,25,synthetic,0,,95,real,1,,FALSE
14,UID-0014,HHS-ONC-2026-0001-0368,real,78,real,1,,85,real,1,,85,real,1,,75,real,1,,90,real,1,,FALSE
15,UID-0015,HHS-ONC-2026-0001-0156,real,18,synthetic,0,,40,synthetic,0,,80,real,1,,25,synthetic,0,,90,real,1,,FALSE
16,UID-0016,HHS-ONC-2026-0001-0444,real,18,synthetic,0,,85,real,1,,80,real,1,,25,synthetic,0,,95,real,1,,FALSE
17,UID-0017,SYNTH-0011,synthetic,35,synthetic,1,,40,synthetic,1,,40,synthetic,1,,75,real,0,,90,real,0,,FALSE
18,UID-0018,HHS-ONC-2026-0001-0292,real,88,real,1,,85,real,1,,90,real,1,,85,real,1,,100,real,1,,FALSE
19,UID-0019,HHS-ONC-2026-0001-0215,real,92,real,1,,85,real,1,,85,real,1,,92,real,1,,0,synthetic,0,,FALSE
20,UID-0020,HHS-ONC-2026-0001-0317,real,78,real,1,,80,real,1,,85,real,1,,75,real,1,,90,real,1,,FALSE
21,UID-0021,SYNTH-0038,synthetic,35,synthetic,1,,80,real,0,,80,real,0,,25,synthetic,1,,85,real,0,,FALSE
22,UID-0022,SYNTH-0065,synthetic,28,synthetic,1,,85,real,0,,85,real,0,,78,real,0,,20,synthetic,1,,FALSE
