UID,human_author_probability,reason
SYNTH-0001,95,"The presence of document header and footer artifacts ('National Minority Quality Forum Comments | HHS AI RFI | Page 1') strongly indicates this text was copy-pasted from a formal PDF or Word document by a human submitter. Furthermore, the single sentence is highly specific, direct, and lacks the typical verbose introductory filler, balanced rhetoric, or predictable structure common in AI-generated text, reading instead like a standard organizational policy thesis."
SYNTH-0002,80,"The comment's extreme brevity, directness, and highly specific domain terminology (such as specifying 'prospective validation' rather than just 'validation') strongly point to a human domain expert or institutional policy writer. While it employs a perfectly balanced rule-of-three list at the end—a rhetorical structure AI models frequently use—it completely lacks the typical verbose fluff, introductory filler, or moralizing conclusions that almost always accompany AI-generated policy text."
SYNTH-0003,90,"The comment is extremely brief and dense, lacking the typical verbosity, introductory fluff, or predictable structure of AI-generated text. It utilizes highly specialized, niche academic and policy jargon ('acceleration framing,' 'distributional accountability,' 'disproportionate deployment risk') that reflects a specific, advanced critical perspective rather than the generalized, smoothed-out language typical of LLMs. The phrasing is highly efficient and institutional, reading like a distilled thesis statement from a human academic researcher or policy expert."
SYNTH-0004,95,"The comment contains numerous hallmarks of authentic human writing and lacks any discernable AI features. It uses conversational sentence fragments ('Has been for years.'), slightly redundant colloquialisms ('speed this up faster'), and natural, slightly run-on syntax ('The computer flagged it... and if my daughter...'). The inclusion of highly specific, mundane personal details ('northern Virginia in February', 'taken that paper to CVS') feels grounded and authentic. The transitions ('And now I'm reading...', 'I've also read about...') are casual and lack the rigid, formulaic structure typical of AI-generated text. The emotional tone is consistent, and the use of idioms ('tap the brakes') flows naturally without the overly polished, balanced rhetoric usually produced by language models."
SYNTH-0005,90,"The comment exhibits strong markers of human authorship. It opens with a highly specific, grounded anecdote (naming a client, age, and specific location) without over-explaining the context, which is typical of human advocates or social workers. The phrasing is natural and conversational, utilizing colloquialisms like 'That's one person,' 'Plus, the folks,' and 'insurance computers' rather than the formal, technical jargon (e.g., 'algorithmic decision-making systems') that AI models typically default to. The emotional expression ('It scares me to imagine') feels authentic and seamlessly integrated, avoiding the melodramatic or overly polished tone AI often produces. Furthermore, the text lacks common AI structural tells, such as predictable transitions, perfectly balanced clauses, or a formulaic concluding sentence."
SYNTH-0006,95,"The comment contains multiple hallmarks of authentic, emotionally driven human internet writing. It uses ALL CAPS for natural, conversational emphasis ('YEARS', 'THAT', 'ACT') and repeated punctuation marks ('!!', '??') which are highly atypical for default AI generation. The tone is genuinely frustrated, utilizing colloquial idioms like 'chasing the next shiny thing.' Furthermore, the narrative jumps organically from a personal grievance about administrative burden to a specific, grounded anecdote about a coworker, completely lacking the polished, balanced, and overly structured rhetoric typical of AI models."
SYNTH-0007,90,"The comment contains several highly idiosyncratic and stylistic choices that strongly indicate human authorship. Most notably, the author uses periods instead of question marks for rhetorical questions ('How do we speed up adoption. How do we reduce barriers.'), a deliberate stylistic choice to convey a flat, critical tone that AI models, which are constrained by standard grammar rules, rarely generate without explicit prompting. The text also features highly natural, conversational phrasing that mimics spoken English ('Not in a ""we'd rather not say"" way. In a genuine ""we don't know"" way.'). Furthermore, the emotional expression is concise and impactful ('It was just terror and time'), avoiding the verbose, sanitized empathy typical of AI. The transitions are informal and natural (starting paragraphs with 'Because' and 'And'), and the text completely lacks standard AI transition words like 'Furthermore' or 'Moreover'."
SYNTH-0008,80,"The comment is extremely concise and direct, lacking the verbose preamble or balanced fluff common in AI generation. It uses a highly specific, emotionally resonant phrase ('treating patients in pain') combined with precise industry terminology ('optimizing throughput,' 'measurable clinical harm') that reflects a targeted corporate advocacy strategy. The structure is a classic, punchy thesis statement typical of human-written executive summaries or policy briefs."
SYNTH-0009,100,"The comment exhibits zero discernible AI features. It includes highly specific personal and geographic details (daughter Cassie, Minot), uses conversational and varied sentence lengths (such as the punchy two-word sentence 'It might.'), and employs idiomatic phrasing ('the nurse left standing'). Furthermore, the cynical, real-world perspective on hospital administrators cutting jobs feels deeply authentic and lacks the balanced neutrality or generic ethical framing typical of AI models."
SYNTH-0010,80,"The comment reads as a highly specific, heavily edited institutional policy statement. It contains pointed, precise legal arguments ('systematically insulates every actor from responsibility') rather than the generic, hedged language typically produced by AI. The phrasing 'offers this perspective out of concern that' is standard human bureaucratic/academic writing, and the text entirely lacks common AI hallmarks such as unnecessary verbosity, predictable transitional phrases, or overly balanced rhetorical structures."
SYNTH-0011,85,"The comment exhibits the direct, forceful, and highly specific advocacy tone typical of an official institutional submission. It uses precise domain vocabulary ('communication-impaired populations', 'human clinical relationship') without any of the verbose filler, preamble, or overly balanced rhetorical structures commonly found in AI-generated text. The concise, punchy delivery strongly indicates a human-authored policy position statement."
SYNTH-0012,95,"The comment is a single, direct sentence stating a specific policy demand on behalf of a named organization. It completely lacks typical AI hallmarks such as verbosity, overly balanced clauses, flowery vocabulary, or robotic transitions. The concise, no-nonsense phrasing is highly characteristic of a human-written advocacy template or a direct submission from an organization's representative."
SYNTH-0013,0,"1. Simulated pagination and headers ('American Chiropractic Association Comments | HHS AI RFI | Page 1' and 'Page 2') for a text that is only ~130 words long, revealing an LLM attempting to fulfill a prompt for a multi-page document without understanding physical page word-count constraints. 2. Factual hallucination regarding the organization's structure: the text claims the American Chiropractic Association represents '1,200 member organizations,' whereas the ACA is actually a professional association composed of individual practitioners. 3. Implausible domain-specific claims: it asserts that a Q3 2024 survey found over two-thirds of chiropractors fielding patient grievances about 'algorithm-guided care decisions,' which is highly unrealistic given the manual nature of chiropractic therapy and the current lack of widespread AI care-decision tools in that specific field. 4. Unnatural line breaks and formatting artifacts, specifically breaking the sentence 'democratic and regulatory foundations / exist to support accountability' across a simulated page boundary. 5. Inclusion of generic healthcare policy boilerplate ('safety-net facilities are bearing the consequences disproportionately') that feels injected from broader medical AI discourse and lacks specific relevance to standard chiropractic practice. 6. Perfectly balanced, antithetical rhetoric typical of LLMs ('The objection here is not to AI. It is to moving permanently before...'). 7. Use of highly polished, dramatic policy phrasing ('genuinely alarmed by the sequencing embedded in this RFI', 'precautionary governance, not acceleration') that contrasts sharply with the blatant factual inaccuracies."
SYNTH-0014,100,"This comment exhibits zero discernible features of AI-generated text and contains multiple hallmarks of authentic human writing. It includes a genuine typo ('clnic'), a comma splice ('...reject thousands of claims at once, no human ever looks at them.'), and a natural, slightly breathless run-on sentence in the opening. The narrative is highly specific, grounded, and lacks the sanitized, generic empathy typical of AI. Furthermore, the vocabulary is conversational ('some automated system', 'folks'), and the conclusion features a direct, emotionally charged, and slightly confrontational appeal to the reader, which is a classic human rhetorical strategy in public comments."
