UID,human_author_probability,reason
UID-0001,85,"This document exhibits the hallmarks of professional policy advocacy written by a subject matter expert or a policy team at a major professional association (the American Psychiatric Association). The text is highly specific to the domain of psychiatry, referencing niche regulatory frameworks like '42 CFR Part 2' and 'psychotherapy notes' in a way that reflects deep institutional knowledge rather than generic AI synthesis. The structure follows a standard formal regulatory response format, and the language—while polished—contains the specific, dense, and slightly repetitive jargon typical of legal and medical advocacy. The abrupt ending ('clinicians worry about to') is a strong indicator of a human user cutting and pasting a draft or hitting a character limit, which is a common 'human error' not typically seen in AI-generated outputs, which usually conclude with a polite summary or sign-off."
UID-0002,80,"This comment exhibits strong markers of human authorship, specifically the inclusion of personal narrative ('Since being diagnosed with Parkinson’s disease 24 years ago') which provides a specific, lived-experience context that AI models rarely generate with such consistent, grounded authority. The text contains minor, human-like inconsistencies, such as the date discrepancy in the header (referencing December 2026 dates but dated January 2026) and the abrupt cutoff at the end, which are characteristic of a human drafting a document rather than an AI generating a polished, complete response. The arguments are highly specific, referencing particular regulatory challenges and industry-specific terminology (e.g., 'Valley of Death,' 'Familial Adenomatous Polyposis') in a way that suggests an author with deep domain expertise rather than a generalized AI summary."
UID-0003,85,"This document exhibits the hallmarks of professional advocacy writing produced by a trade association or policy institute. The text contains specific, verifiable citations (e.g., '90 Fed. Reg. at 60108', 'Pub. L. No. 116-260'), references to specific internal organizational priorities, and a sophisticated understanding of the regulatory landscape (HIPAA, 42 C.F.R. pt. 2, Section 1557). The structure follows the standard conventions of a formal regulatory comment, including a header, formal salutation, and thematic section headings. While the prose is polished, it lacks the 'generic' quality often found in AI-generated policy responses; instead, it reflects the specific, repetitive, and highly technical jargon typical of legal and policy experts working within the healthcare sector."
UID-0004,85,"The text exhibits the specific, nuanced tone of a corporate compliance professional or legal counsel. It uses industry-specific jargon ('payer networks,' 'utilization management,' 'liability exposure') in a contextually accurate and sophisticated manner. The structure reflects a formal corporate response—identifying the entity, noting the procedural context of the RFI, and pivoting to a risk-based argument. The prose lacks the 'hallucinated' confidence or repetitive structural patterns (like the 'rule of three' or overly balanced clauses) common in LLM outputs. The critique of the RFI's visibility is a specific, human-centric observation regarding administrative process rather than a generic policy stance."
UID-0005,85,"This comment exhibits strong indicators of human authorship, specifically the inclusion of highly specific, proprietary business interests and concrete, real-world legislative references (e.g., S. 1399, specific PubMed citations, and references to AdvaMed). The writing style is characteristic of corporate regulatory affairs professionals: it is dense, slightly repetitive, and uses industry-specific jargon that is contextually grounded in the company's specific product (virtual staining). While the structure is formal, it lacks the 'perfect' flow and generic, overly polished tone typical of LLMs. The inclusion of specific, non-generic arguments regarding supply chain dependencies on China and India for staining chemicals is a nuanced, human-level strategic argument that AI models rarely generate without very specific, lengthy prompting. The minor grammatical awkwardness in some sentences (e.g., '...as the availability of pathology laboratories capable of a myriad of staining may be functionally or locally limited') feels like human drafting rather than AI-generated prose."
UID-0006,85,"This document exhibits the hallmarks of professional institutional correspondence rather than AI generation. It follows the standard formal structure of a regulatory submission from a research institute, including specific contact information, organizational branding (Regenstrief Institute), and references to specific technical standards (LOINC, UCUM, SNOMED CT). The content is highly domain-specific, reflecting the internal expertise and ongoing work of a health data standards organization. While the prose is polished, it lacks the 'generic' or 'overly enthusiastic' tone common in AI-generated policy responses; instead, it uses precise, industry-standard terminology consistent with the expertise of a professional policy or research team."
UID-0007,85,"This document exhibits the hallmarks of a formal organizational submission written by human policy staff. Key indicators include: 1. The presence of specific, non-AI-generated formatting artifacts, such as the footer repeated on every page and the footnote containing a typo ('11961' instead of '1961'), which is a common human error; 2. The structure follows a standard, rigid professional template for federal regulatory comments, which is characteristic of institutional advocacy rather than generative AI; 3. The content relies on specific, internal organizational structures (the 'Voices of Parkinson’s Council') and provides contact information for a specific staff member, which is typical of authentic lobbying efforts; 4. The prose lacks the 'over-polishing' or repetitive transition phrases often found in LLM outputs, instead utilizing a straightforward, functional tone consistent with professional policy writing."
UID-0008,85,"This document exhibits the hallmarks of a professional corporate submission from a large entity like Epic Systems. The writing is highly structured, consistent with the style of white papers or policy briefs produced by corporate legal and advocacy departments. Key indicators of human authorship include: 1. Specific, proprietary data points (e.g., '175 use cases', '2.4 times faster', '45% vs 18% growth') that reflect internal company metrics rather than generic AI-generated filler; 2. The inclusion of specific, branded programs like 'Jump Start Cloud Infrastructure', which are characteristic of corporate policy advocacy; 3. The document follows a standard, formal business letter format with specific contact information and headers that would be tedious for an AI to format correctly across multiple pages; 4. The tone is pragmatic and industry-specific, focusing on the 'pajama time' phenomenon and specific clinical workflow challenges that reflect deep, domain-specific institutional knowledge rather than the generalized, often overly cautious tone of LLMs."
UID-0009,85,"This document is a formal corporate submission to a federal regulatory docket. The high probability of human authorship is based on the following: 1. The inclusion of specific, verifiable corporate data (e.g., '1,000+ customer sites,' '40+ NHS Trusts,' '8 FDA clearances'), which is characteristic of a company's regulatory affairs or legal department drafting a formal response. 2. The document references a specific, real-world Citizen Petition (FDA-2025-P-5560-0001) and provides precise legal citations (e.g., 21 C.F.R. § 865.5950, 21st Century Cures Act sections 510(l) and 510(m)), which reflects the specialized knowledge of industry professionals rather than the generalized output of an AI. 3. The structure follows the standard conventions of a formal regulatory comment, including a header, subject line, and direct responses to specific RFI questions. 4. The text contains minor, non-AI-typical formatting artifacts (e.g., 'Page 1 of 9', 'Page 2 of 9', and a sentence that cuts off mid-word at the end of the excerpt), which are indicative of a human copy-pasting a draft document into a web form."
UID-0010,85,"This document exhibits the hallmarks of a formal institutional submission from a large labor union (AFSCME). The text follows the standard conventions of professional advocacy writing, including specific organizational boilerplate, formal letterhead-style formatting, and the inclusion of specific, dated citations to external news and academic sources. The arguments reflect the specific policy priorities and institutional 'voice' of a labor union (e.g., concerns about labor market impacts, worker autonomy, and the 'carefree' culture of tech firms compared to the regulated environment of healthcare workers). While the prose is polished, it lacks the generic, overly-symmetrical, or 'bland' quality often associated with AI-generated policy responses. The inclusion of specific, dated footnotes (referencing events in February 2026) and the structured list of labor-specific demands are consistent with human-authored policy advocacy."
