UID,human_author_probability,reason
SYNTH-0001,85,"The comment is a single, highly specific sentence that reads like standard institutional boilerplate for a regulatory submission. It uses precise, domain-specific terminology ('reproducible clinical AI deployment at scale') without the typical verbose padding, balanced clauses, or conversational filler often found in AI-generated text. The phrasing 'submits these comments with concern that' is a traditional, formal convention used by organizations in docket comments, strongly indicating human authorship from an academic or medical institution."
SYNTH-0002,90,"The comment exhibits strong human hallmarks, notably its extreme conciseness and directness. It lacks the typical verbosity, generic filler, and balanced rhetorical structures common in AI-generated text. The highly specific policy terminology ('market-structure analysis', 'anti-concentration safeguards') is used efficiently without unnecessary elaboration, reading exactly like a standard, human-authored organizational policy statement."
SYNTH-0003,95,"The comment is a single, direct sentence representing a real advocacy organization. It uses standard, concise policy advocacy phrasing ('urges HHS to pause and ask whether...') without any of the verbosity, repetitive structures, or generic filler typical of AI-generated text. The specific focus on a nuanced policy intersection delivered so succinctly points strongly to human authorship."
SYNTH-0004,10,"1. Simulated document header: The inclusion of 'Johns Hopkins Medicine | HHS AI RFI | Page 1' at the top of a four-sentence text is a classic LLM artifact where the model attempts to visually simulate a formal document. 2. Unrealistic brevity and format: A major institution like Johns Hopkins Medicine would submit a comprehensive, multi-page formal letter with letterhead, salutations, and detailed subsections, not a single, highly condensed paragraph. 3. Formulaic paragraph structure: The text follows a rigid, perfectly balanced LLM template: Introduction/Positioning (Sentence 1), Qualitative Data Point (Sentence 2), Quantitative Data Point (Sentence 3), and a punchy Policy Recommendation (Sentence 4). 4. Hallucinated specificity: The use of perfectly tailored, highly specific synthetic data ('fourteen payer relationships', '$2.3 million in disputed claims') is typical of AI models prompted to invent concrete evidence. 5. Overly dramatic rhetoric: The concluding phrase 'not after the contracts are already signed' is slightly too colloquial and dramatic for a dry, formal regulatory submission from a major hospital system. 6. Suspicious timeline: The reference to a 'Q4 2024 technology working group' reads like a generated placeholder date used as a convenient framing device."
SYNTH-0005,95,"The comment exhibits numerous hallmarks of authentic human writing. It features imperfect capitalization (e.g., lowercase 'i', starting sentences with lowercase letters) and fragmented, authentic medical shorthand ('STEMI.'). The inclusion of highly specific local context ('Grady' hospital) aligns perfectly with the demographic and clinical details provided. Furthermore, the text lacks typical AI structural markers like balanced arguments, over-explained acronyms, or formal transitions, instead relying on a raw, direct emotional tone and realistic frontline worker cynicism toward hospital administration."
SYNTH-0006,90,"The comment exhibits strong markers of human authorship, including highly specific, niche data points from a cited member survey (14 flagged recommendations in 24 months) that AI typically does not generate unless explicitly prompted to hallucinate. The text also features excellent sentence length variation, moving from a formal policy request to short, punchy, and emotionally charged rhetorical statements ('That is not a readiness gap. That is recklessness.'). It lacks the typical verbosity, throat-clearing, and overly balanced neutrality characteristic of AI-generated text."
SYNTH-0007,80,"The comment is a single, highly concise sentence that lacks the typical verbosity, fluff, or overly balanced rhetorical structures of AI-generated text. It directly states an organizational position with specific, dense policy terminology ('prospective bias auditing standards') and cites a highly specific domain statistic ('reproducibility failures affecting over two-thirds of surveyed pathology practices'). This directness, brevity, and specificity are highly characteristic of a human professional or organizational representative summarizing a formal stance for a docket submission text box."
SYNTH-0008,85,"The comment is a single, highly specific sentence typical of organizational advocacy. It lacks common AI hallmarks such as conversational filler, throat-clearing, or overly balanced rhetorical structures. The dense use of specific policy terminology ('enforceable equity audits', 'mandatory consent disclosures', 'labor impact assessments') reflects expert human advocacy and direct policy demands rather than generic AI text generation."
SYNTH-0009,95,"The text exhibits numerous hallmarks of authentic human writing and zero typical AI features. It uses conversational, unpolished syntax, including a natural sentence fragment ('Eight months before a human caught what was actually wrong.') and run-on sentences connected by 'and' that mimic spoken frustration. The phrasing includes colloquialisms ('god knows what data', 'say out loud whose side you are on') that AI rarely generates. Furthermore, the comment grounds its argument in highly specific local geography (the four-hour drive from Tok to Fairbanks, Alaska) and seamlessly connects a personal anecdote to a specific, real-world news story (UnitedHealth's NaviHealth system). The raw, slightly cynical emotional tone at the conclusion completely lacks the typical balanced, diplomatic neutrality of AI-generated text."
SYNTH-0010,90,"The comment is a single, highly concise sentence that directly states an organization's policy position. It lacks typical AI hallmarks such as overly balanced sentence structures, filler transitions, or verbose explanations. The specific references to 'La Jolla Institute for Immunology', 'pulse oximetry', and 'sepsis prediction' are integrated naturally without the typical explanatory padding an AI model often includes. Its direct, utilitarian style strongly indicates human authorship, likely as a brief organizational submission or executive summary."
SYNTH-0011,100,"The comment exhibits numerous hallmarks of authentic human writing, including highly specific personal details (sister Marisol, Baton Rouge, lupus diagnosis timeline) integrated naturally into the argument. It uses authentic emotional formatting, such as ALL CAPS for emphasis ('FINALLY', 'SPEED UP', 'NOT') and double exclamation points, which are atypical for default AI generation. The phrasing is conversational and slightly colloquial ('maybe just fatigue', 'treating it like it is'), completely lacking the rigid structure, balanced rhetoric, and formal vocabulary typically produced by LLMs. The emotional transition from personal frustration to policy critique feels genuine and unforced."
