UID,human_author_probability,reason
HHS-ONC-2026-0001-0001,100,"The provided comment is completely empty. There is no text to analyze. An empty submission is typically the result of a human user accidentally submitting a web form prematurely or a technical glitch, whereas an AI language model prompted to write a comment would generate actual text. There are absolutely zero AI linguistic features present."
HHS-ONC-2026-0001-0002,20,"1. Rigid, repetitive structural pattern across the responses to specific questions: Almost every answer follows the exact same format of an introductory sentence, a bulleted list of 3-4 items, and a concluding sentence summarizing the impact (e.g., Questions 1, 3, 4, 5, 6, 7, 8). 2. Heavy reliance on bulleted lists: Every single section and question uses bullet points, creating an overly uniform and mechanical formatting style. 3. Perfectly balanced triads: The text frequently uses groups of three, such as in Question 6 (3 bullets for met expectations, 3 bullets for fallen short), Question 9 (3 things patients seek), and the triad of concerns 'opacity, bias, and loss of human oversight'. 4. Formulaic concluding paragraph: The Closing section ends with a classic LLM summary structure ('By clarifying... HHS can reduce uncertainty... improve the defensibility... and enable responsible innovation... while preserving public trust'), following the 'By [action], [actor] can [benefit 1], [benefit 2], and [benefit 3] while [benefit 4]' pattern. 5. Symmetrical rhetoric and contrasting pairs: The text frequently uses 'not X, but Y' structures typical of AI generation (e.g., 'constrained less by technical capability and more by uncertainty', 'not to define best-in-class practices, but to articulate the least', 'not to introduce new compliance frameworks, but to clarify expectations', 'guidance rather than rulemaking', 'common reference point for reasonableness, not to impose uniform technical standards'). 6. Overuse of the transition word 'Importantly': It appears three times to emphasize a point ('Importantly, this approach would also benefit HHS...', 'importantly, including pilot/POC...', 'Importantly, this approach aligns with...'). 7. Unnatural word choice likely due to token prediction error: The use of 'audibly' instead of 'auditably' in the closing ('demonstrate—clearly, consistently, and audibly—that their governance...') is a common AI hallucination or autocorrect artifact when generating less common words. 8. Smooth, generalized synthesis with isolated human insertions: The base text is highly polished and generalized, while specific, colloquial, or highly detailed industry complaints (like the parentheticals in Q4 and Q10, and the sentence about '12+ month AI Committee review cycles being added onto existing, onerous AI Procurement processes' in Q1) appear to be manual human insertions into the AI draft, as they break the established tone and structure."
HHS-ONC-2026-0001-0003,95,"The text contains a classic word processor auto-numbering error in section 3.1, where a list starts at 4 instead of 1 (continuing from a previous list in the Executive Summary). This is a strong indicator of a human drafting in a program like MS Word and copy-pasting the text. Additionally, the comment abruptly cuts off at '5. Recommended HHS Actions', suggesting a human copy-paste error or a character limit truncation. The writing demonstrates deep, highly specific domain expertise in health informatics (using terms like 'normalization drift', 'episodic exchange', and 'USCDI-aligned') and focuses on practical, operational realities rather than the generic, balanced platitudes typical of AI-generated text."
HHS-ONC-2026-0001-0004,100,"The comment contains numerous hallmarks of human authorship that AI models do not naturally generate. First, there are clear copy-paste and formatting artifacts, such as the Federal Register URL in the header being broken across multiple lines with hyphens, and footnote numbers appearing as standard text (e.g., 'care,1'). Second, the citation style is highly idiosyncratic and human-like; it includes dense, inconsistently formatted blocks of links and references (Footnote 3), minor date typos (citing 2025 instead of 2024), and the use of the legal citation convention 'Id. at 3.' in Footnote 6. Third, the inclusion of a legacy personal email address (hotmail), a 'writing in private capacity' note, and a formal legal disclaimer at the end strongly indicate a human professional submitting a comment on their own behalf. Finally, the content relies on deep, specific domain expertise, making nuanced policy recommendations (like restoring the Presidential Bioethics Commission) rather than relying on the broad, generalized summaries typical of AI."
HHS-ONC-2026-0001-0005,90,"The text contains highly nuanced, domain-specific policy arguments (e.g., 'Interoperability that enables data movement but not data meaning limits AI impact') that reflect deep industry expertise rather than superficial LLM generation. The presence of repeated footers containing URLs, a typo ('HAI) )'), and a cut-off sentence at the very end ('Website: https://health') strongly indicate this is text extracted from a human-formatted PDF document. While the 'About' section contains some standard corporate boilerplate, the overall structure, precise terminology, and sophisticated reasoning point overwhelmingly to human authorship."
HHS-ONC-2026-0001-0006,10,"1. Overuse of short, dramatic, punchy sentences for rhetorical emphasis, particularly at the ends of paragraphs (e.g., 'The model did not fail. Oversight did.', 'Surveillance without action is performative.', 'Technical accuracy was irrelevant. The failure was one of governance.', 'Equity cannot be ensured through design alone. It must be measured continuously.').
2. Heavy reliance on parallelism and anaphora to structure arguments (e.g., 'It has intensity... It has latency... It demonstrates... It generates... Its risk profile...', 'how decisions are made, how attention is allocated, how workflows evolve, and how care is delivered').
3. Frequent use of 'X rather than Y' and 'not X, but Y' contrasting constructs (e.g., 'a causal sequence rather than a static endpoint', 'a regulatory science failure rather than a technological one', 'a concrete governance standard rather than an aspirational principle', 'not to argue for or against particular technologies, but to address a foundational regulatory issue').
4. A highly formulaic, perfectly balanced introduction that outlines the scope and intent of the comment ('The observations and recommendations that follow are intended to...').
5. Rigidly structured, sequential list format integrated into the prose ('The first element...', 'The second element...', 'The third element...', 'The fourth element...', 'The fifth element...').
6. Inclusion of suspiciously vague anecdotes that perfectly serve the rhetorical argument but lack any specific, verifiable details or citations that an academic would typically include (e.g., 'In one evaluation I conducted...', 'In another deployment I reviewed...').
7. The date 'January 6, 2026' and docket 'HHS-ONC-2026-0001' strongly suggest an AI hallucination or a hypothetical prompt scenario."
HHS-ONC-2026-0001-0007,20,"1. Formulaic paragraph openings and transitions (e.g., 'One of the primary barriers...', 'Another barrier is...'). 2. Frequent use of the 'rule of three' for rhetorical balance (e.g., 'trust, explainability, and generalization'; 'safety, explainability, and clinician trust'; 'signal reliability, explainability, and interoperability'). 3. Restating the prompt's phrasing at the beginning of responses (e.g., 'For non-medical devices that support clinical care, the most promising evaluation methods emphasize...'). 4. Perfectly parallel grammatical structure in the bulleted list under Question 4. 5. Vague, generalized references to research instead of specific citations, which is typical of LLMs avoiding hallucinations (e.g., 'Published literature increasingly recognizes that...'). 6. Neatly packaged summary sentences at the end of sections (e.g., 'Supporting AI-enabled measurement platforms through federal R&D investment would accelerate adoption while improving safety, explainability, and clinician trust.'). 7. A classic AI-style concluding paragraph under 'Public-Private Research and Pilot Pathways' that begins with a balanced infinitive phrase ('To accelerate adoption while maintaining safety and trust...') and summarizes the preceding arguments. 8. Highly polished, sterile tone devoid of idiosyncratic human phrasing, despite the highly specific technical niche being advocated for."
HHS-ONC-2026-0001-0008,95,"The comment exhibits several strong markers of human authorship. Most notably, it contains a grammatical error ('a on-demand' instead of 'an on-demand') that AI models rarely make. The text also heavily relies on ampersands ('&') instead of spelling out 'and', which is typical of informal human typing but highly unusual for default AI generation. Additionally, the clunky repetition of phrases like 'beneficiaries & providers' lacks the stylistic variation typical of LLMs. Finally, the underlying intent—pitching a personal app to donate—is a highly specific, self-promotional human motivation that does not align with typical AI-generated policy commentary."
HHS-ONC-2026-0001-0009,0,"1. Orphaned citation numbers: The text contains numerous unformatted numbers attached to the ends of words (e.g., 'trust4', 'clinical trials13', 'administrative burden14', 'algorithm development16'), which are classic artifacts of copy-pasting AI-generated text where superscript citations were lost. 2. Bracketed citation artifacts: The second half of the text is littered with bracketed citation numbers (e.g., '[1][2]', '[4][5]', '[8][9]') typical of AI models with web search capabilities (like Perplexity or Copilot), yet no reference list is provided. 3. Duplicated sections: The comment contains two separate 'Introduction' sections with overlapping but distinct content, strongly suggesting that multiple AI-generated drafts or prompt responses were carelessly stitched together. 4. Abrupt truncation: The text cuts off mid-sentence at the very end ('Massive Bio stands ready to partner with H'), which is a hallmark of hitting an AI generation token limit or a sloppy copy-paste error. 5. Formulaic structuring: The use of a perfectly balanced 'Three-Lever' approach with conceptual, symmetrical subtitles ('The Safety Lever', 'The Motivation Lever', 'The Enabler Lever') is highly characteristic of LLM organizational patterns. 6. Overuse of AI buzzwords and clichés: The text relies heavily on typical LLM corporate rhetoric and grandiose phrasing, such as 'democratize access,' 'transformative potential,' 'revolutionize healthcare,' 'break down silos,' 'ecosystem of trust and utility,' and 'bold, visionary insights.'"
HHS-ONC-2026-0001-0010,90,"The comment exhibits highly specialized domain expertise, utilizing accurate and niche bureaucratic acronyms (OMHA, CMMI, CMS) and referencing specific officials and a specific OMB memorandum (M-25-21) with precise contextual relevance. The conceptual framing ('Deflationary AI Governance', 'semantic responsibility', 'cryptographically anchored definitions') is idiosyncratic yet highly coherent, characteristic of an independent systems architect's proprietary methodology rather than an LLM's generalized output. Furthermore, the inclusion of a personal Yahoo email address and the complete absence of typical AI structural markers—such as generic introductions, overly balanced rhetoric, or repetitive summaries—strongly indicate human authorship."
HHS-ONC-2026-0001-0011,100,"The comment exhibits deep, highly specialized domain expertise and uses accurate, recent federal acronyms (such as ASTP/ONC, which was only recently renamed in mid-2024). It contains original, strategic insights typical of a seasoned consultant or former federal official, such as defining 'acquisition as the control plane' and uniquely distinguishing between privacy, sovereignty, and security. Furthermore, the author strategically evades providing specific CFR citations by suggesting HHS issue a targeted follow-on request—a distinctly human maneuver to avoid tedious legal research, whereas an AI would likely hallucinate citations or provide a standard disclaimer. The writing is dense, actionable, and entirely lacks the fluff, repetitive transitions, or overly balanced structures typical of AI-generated text. Finally, the abrupt cut-off at the end is consistent with a human copy-pasting text into a character-limited web form."
HHS-ONC-2026-0001-0012,90,"The text contains numerous indicators of human authorship, particularly in a professional consulting or government contracting context. First, the presence of pagination artifacts ('Page 1 of 14', 'Page 2 of 14') and repeated headers/footers ('Disclaimer: This submission reflects...') strongly indicates the text was extracted from a manually formatted document, such as a PDF, rather than being raw AI output. Second, the comment includes highly specific, proprietary company trademarks (AI ReadyCheck™, AI-EQUITYClear™, AI SoftLife™) and specific biographical details about the founder, which point to a bespoke, human-authored proposal. Third, the text demonstrates deep, specialized domain expertise, citing specific healthcare payment models (MSSP, ACO REACH) and exact Code of Federal Regulations sections (45 CFR Part 170, 42 CFR Part 414) relevant to the prompt. Finally, the abrupt cutoff at the end of the text ('Provide model ') suggests a human copy-paste error or a web form character limit being reached."
HHS-ONC-2026-0001-0013,95,"The comment exhibits highly original, evocative phrasing that deviates significantly from typical LLM outputs (e.g., 'responsibility to be laundered through vendor disclaimers,' 'performative human review,' and the striking conclusion 'whether harm can be forced to matter'). It demonstrates a nuanced, practical understanding of administrative law by specifically distinguishing the agenda-setting value of an RFI from a rulemaking action. The tone is assertive, critical, and philosophically grounded, avoiding the bland, perfectly balanced, and overly diplomatic style typical of AI-generated policy responses. Furthermore, the vocabulary is precise and domain-specific ('durable decision provenance,' 'control surfaces') in a way that reflects genuine systems-design expertise rather than AI-typical statistical word association."
HHS-ONC-2026-0001-0014,90,"The text exhibits strong markers of human authorship, specifically in the context of a corporate regulatory submission. It contains highly specific domain expertise, a clear and proprietary marketing agenda (advocating for FERZ AI's 'deterministic governance'), and lacks the generic, balanced neutrality typical of AI generation. Furthermore, the text includes clear artifacts of a human copy-pasting from a PDF document, such as inline page numbers ('Page 1 | Public Submission'), flattened table formatting, and an abrupt cutoff at the very end ('regardless of retrieval cont'), which strongly suggests a human user hitting a character limit in a web submission form."
HHS-ONC-2026-0001-0015,20,"1. Extreme over-reliance on the 'rule of three' (triadic structures), with at least 14 instances in a ~500-word text (e.g., 'clinical, administrative, and financial systems'; 'improving clinical outcomes, reducing administrative burden, and lowering costs'; 'structural, financial, and organizational friction'; 'organizational, administrative, and incentive-based'; 'workflow design, education, and change management'; 'trust, education, and governance'; 'privacy, recording, and data usage'; 'how, when, and for what purpose'; 'training, governance, and workflow integration'; 'Pilot programs, demonstration models, or value-based payment structures'; 'organizational governance, administrative capacity, and financial incentives'; 'incentive alignment, reimbursement clarity, and reduction of administrative friction'; 'patients, clinicians, and the healthcare system as a whole'). 2. Heavy use of perfectly balanced, contrastive rhetoric ('not X, but Y' or 'less X, more Y'), appearing 8 times (e.g., 'grounded less in theoretical AI capability and more in the realities'; 'not because of model performance, but because of structural... friction'; 'not technical. They are organizational'; 'not a technology failure, but an implementation and governance one'; 'rather than producing discrete billable events'; 'not only clinical outcomes but also the operational effort'). 3. A dangling modifier in the second anecdote ('Despite conducting due diligence to ensure SOC 2, HIPAA, and GDPR compliance, adoption was initially limited...'), which is a common AI grammatical slip when attempting to blend a prompted first-person anecdote into a passive, generalized paragraph without specifying the actor. 4. Formulaic paragraph structures, particularly the smooth, predictable narrative arcs that transition flawlessly from a high-level claim to a specific anecdote and then to a generalized policy recommendation. 5. The conclusion perfectly summarizes the preceding points using a highly typical AI wrap-up formula, ending with a broad, optimistic statement about delivering value to all stakeholders ('patients, clinicians, and the healthcare system as a whole'). 6. Copula avoidance and reliance on formal, slightly bloated AI verbs and phrases (e.g., 'holds significant promise,' 'magnifies this dynamic,' 'deliver value by')."
HHS-ONC-2026-0001-0016,95,"The comment exhibits numerous hallmarks of human authorship. It features a deeply personal and consistent narrative, connecting the author's 24-year battle with Parkinson's disease to specific, real-world initiatives like the PPMI. The policy proposals are highly specific, unconventional, and strongly opinionated (e.g., collapsing Phase I, II, and III trials into a single elongated trial; calling the FDA an 'overzealous gatekeeper'), which deviates from the typical safe, consensus-driven output of AI models. Furthermore, the text cuts off mid-word at the very end ('treatmen'), which is a classic artifact of a human copy-paste error or hitting a character limit on a web submission form."
HHS-ONC-2026-0001-0017,95,"The comment contains specific typographical and editing errors that are highly characteristic of human writing and extremely rare in default AI generation. The opening sentence is missing an article ('I am dermatologist' instead of 'I am a dermatologist'). Additionally, there is a clunky duplication of an acronym ('developing AI clinical AI products'), which is a classic human editing mistake where a word is added but the previous instance is not deleted. The text is direct and practical, lacking the overly polished, perfectly balanced rhetorical structure typical of LLMs."
