document_id,attachment_filename,attachment_path,size_bytes,ai_label,ai_confidence,ai_doc_type,ai_rationale,ai_raw,model,prompt_version,request_format,error
CMS-2025-0050-0004,attachment_1.pdf,CMS-2025-0050-0004\attachment_1.pdf,140791,comment,0.95,substantive_comment,"The document contains a detailed response to a CMS RFI, including specific recommendations and evidence, indicating it is a substantive public comment.","{
  ""label"": ""comment"",
  ""confidence"": 0.95,
  ""doc_type"": ""substantive_comment"",
  ""rationale"": ""The document contains a detailed response to a CMS RFI, including specific recommendations and evidence, indicating it is a substantive public comment.""
}",devstral,v1,content_parts,
CMS-2025-0050-0005,attachment_1.pdf,CMS-2025-0050-0005\attachment_1.pdf,304857,comment,0.95,substantive_comment,"The document is a detailed comment outlining a blockchain-based solution for healthcare interoperability, directly addressing CMS RFI questions with specific recommendations and arguments.","{
  ""label"": ""comment"",
  ""confidence"": 0.95,
  ""doc_type"": ""substantive_comment"",
  ""rationale"": ""The document is a detailed comment outlining a blockchain-based solution for healthcare interoperability, directly addressing CMS RFI questions with specific recommendations and arguments.""
}",devstral,v1,content_parts,
CMS-2025-0050-0007,attachment_1.pdf,CMS-2025-0050-0007\attachment_1.pdf,2182699,not_comment,0.95,product_description,"The document is a capability statement and company snapshot for OttnoAI, describing their services, competencies, and differentiators. It does not contain substantive public comment or feedback on a …","{
  ""label"": ""not_comment"",
  ""confidence"": 0.95,
  ""doc_type"": ""product_description"",
  ""rationale"": ""The document is a capability statement and company snapshot for OttnoAI, describing their services, competencies, and differentiators. It does not contain substantive public comment or feedback on a rule/RFI.""
}",devstral,v1,content_parts,
CMS-2025-0050-0007,attachment_2.pdf,CMS-2025-0050-0007\attachment_2.pdf,1479307,not_comment,0.95,product_description,The PDF is a promotional brochure describing a product (OttnoAI Personal Health Record) with no substantive comment or feedback on a regulatory rule.,"{
  ""label"": ""not_comment"",
  ""confidence"": 0.95,
  ""doc_type"": ""product_description"",
  ""rationale"": ""The PDF is a promotional brochure describing a product (OttnoAI Personal Health Record) with no substantive comment or feedback on a regulatory rule.""
}",devstral,v1,content_parts,
CMS-2025-0050-0008,attachment_1.pdf,CMS-2025-0050-0008\attachment_1.pdf,5268591,not_comment,0.95,product_description,"The document is a promotional brochure describing a product (AI-powered Medicare optimization engine) with claims about savings and alignment with CMS goals, not a substantive public comment.","{
  ""label"": ""not_comment"",
  ""confidence"": 0.95,
  ""doc_type"": ""product_description"",
  ""rationale"": ""The document is a promotional brochure describing a product (AI-powered Medicare optimization engine) with claims about savings and alignment with CMS goals, not a substantive public comment.""
}",devstral,v1,content_parts,
CMS-2025-0050-0017,attachment_1.pdf,CMS-2025-0050-0017\attachment_1.pdf,143523,comment,0.95,substantive_comment,"The document contains detailed arguments, recommendations, and critiques related to the RFI on health technology, including specific suggestions for patient engagement, health literacy, broadband acc…","{
  ""label"": ""comment"",
  ""confidence"": 0.95,
  ""doc_type"": ""substantive_comment"",
  ""rationale"": ""The document contains detailed arguments, recommendations, and critiques related to the RFI on health technology, including specific suggestions for patient engagement, health literacy, broadband access, and privacy.""
}",devstral,v1,content_parts,
CMS-2025-0050-0021,attachment_1.pdf,CMS-2025-0050-0021\attachment_1.pdf,4702,comment,0.95,substantive_comment,"The document contains detailed arguments, recommendations, and critiques regarding the use of AI in clinical documentation integrity, specifically addressing its benefits, risks, and policy implicati…","{
  ""label"": ""comment"",
  ""confidence"": 0.95,
  ""doc_type"": ""substantive_comment"",
  ""rationale"": ""The document contains detailed arguments, recommendations, and critiques regarding the use of AI in clinical documentation integrity, specifically addressing its benefits, risks, and policy implications for CMS.""
}",devstral,v1,content_parts,
CMS-2025-0050-0025,attachment_1.pdf,CMS-2025-0050-0025\attachment_1.pdf,6610663,not_comment,0.95,brochure,"The document appears to be a promotional brochure for a healthcare company, focusing on virtual care management solutions, rather than a substantive public comment.","{
  ""label"": ""not_comment"",
  ""confidence"": 0.95,
  ""doc_type"": ""brochure"",
  ""rationale"": ""The document appears to be a promotional brochure for a healthcare company, focusing on virtual care management solutions, rather than a substantive public comment.""
}",devstral,v1,content_parts,
CMS-2025-0050-0025,attachment_2.pdf,CMS-2025-0050-0025\attachment_2.pdf,1177750,not_comment,0.95,brochure,"The document is a promotional brochure for a healthcare service, containing marketing claims, statistics, and contact information, not a substantive public comment.","{
  ""label"": ""not_comment"",
  ""confidence"": 0.95,
  ""doc_type"": ""brochure"",
  ""rationale"": ""The document is a promotional brochure for a healthcare service, containing marketing claims, statistics, and contact information, not a substantive public comment.""
}",devstral,v1,content_parts,
CMS-2025-0050-0025,attachment_3.pdf,CMS-2025-0050-0025\attachment_3.pdf,1043075,not_comment,0.95,brochure,"The document is a promotional brochure for a healthcare service (Smart Care 360), detailing their process, affordability, and contact information, not a substantive public comment.","{
  ""label"": ""not_comment"",
  ""confidence"": 0.95,
  ""doc_type"": ""brochure"",
  ""rationale"": ""The document is a promotional brochure for a healthcare service (Smart Care 360), detailing their process, affordability, and contact information, not a substantive public comment.""
}",devstral,v1,content_parts,
