document_id,attachment_filename,attachment_path,size_bytes,ai_label,ai_confidence,ai_doc_type,ai_rationale,ai_raw,model,prompt_version,request_format,error
HHS-ONC-2026-0001-0010,attachment_1.pdf,HHS-ONC-2026-0001\comment_attachments\HHS-ONC-2026-0001-0010\attachment_1.pdf,63170,comment,0.7,substantive_comment,Likely a submitted comment based on docket ID.,"{""label"": ""comment"", ""confidence"": 0.7, ""doc_type"": ""substantive_comment"", ""rationale"": ""Likely a submitted comment based on docket ID.""}",openai/gpt-oss-120b,v2,content_parts,
HHS-ONC-2026-0001-0010,attachment_3.pdf,HHS-ONC-2026-0001\comment_attachments\HHS-ONC-2026-0001-0010\attachment_3.pdf,198735,comment,0.7,substantive_comment,Likely a submitted comment with arguments for the rule.,"{""label"": ""comment"", ""confidence"": 0.7, ""doc_type"": ""substantive_comment"", ""rationale"": ""Likely a submitted comment with arguments for the rule.""}",openai/gpt-oss-120b,v2,content_parts,
HHS-ONC-2026-0001-0010,attachment_2.pdf,HHS-ONC-2026-0001\comment_attachments\HHS-ONC-2026-0001-0010\attachment_2.pdf,43767,comment,0.92,substantive_comment,File appears to be a submitted comment with arguments and recommendations.,"{""label"": ""comment"", ""confidence"": 0.92, ""doc_type"": ""substantive_comment"", ""rationale"": ""File appears to be a submitted comment with arguments and recommendations.""}",openai/gpt-oss-120b,v2,content_parts,
HHS-ONC-2026-0001-0002,attachment_1.pdf,HHS-ONC-2026-0001\comment_attachments\HHS-ONC-2026-0001-0002\attachment_1.pdf,124716,comment,0.78,substantive_comment,ID pattern suggests a public comment submission.,"{""label"": ""comment"", ""confidence"": 0.78, ""doc_type"": ""substantive_comment"", ""rationale"": ""ID pattern suggests a public comment submission.""}",openai/gpt-oss-120b,v2,content_parts,
HHS-ONC-2026-0001-0009,attachment_1.pdf,HHS-ONC-2026-0001\comment_attachments\HHS-ONC-2026-0001-0009\attachment_1.pdf,607327,comment,0.7,substantive_comment,Likely includes arguments/recommendations for the rule.,"{""label"": ""comment"", ""confidence"": 0.7, ""doc_type"": ""substantive_comment"", ""rationale"": ""Likely includes arguments/recommendations for the rule.""}",openai/gpt-oss-120b,v2,content_parts,
HHS-ONC-2026-0001-0007,attachment_1.pdf,HHS-ONC-2026-0001\comment_attachments\HHS-ONC-2026-0001-0007\attachment_1.pdf,19162,comment,0.8,substantive_comment,Docket ID suggests a submitted comment with arguments.,"{""label"": ""comment"", ""confidence"": 0.8, ""doc_type"": ""substantive_comment"", ""rationale"": ""Docket ID suggests a submitted comment with arguments.""}",openai/gpt-oss-120b,v2,content_parts,
HHS-ONC-2026-0001-0006,attachment_1.pdf,HHS-ONC-2026-0001\comment_attachments\HHS-ONC-2026-0001-0006\attachment_1.pdf,347043,comment,0.7,substantive_comment,Likely a submitted comment with arguments for the agency.,"{""label"": ""comment"", ""confidence"": 0.7, ""doc_type"": ""substantive_comment"", ""rationale"": ""Likely a submitted comment with arguments for the agency.""}",openai/gpt-oss-120b,v2,content_parts,
HHS-ONC-2026-0001-0005,attachment_1.pdf,HHS-ONC-2026-0001\comment_attachments\HHS-ONC-2026-0001-0005\attachment_1.pdf,463541,comment,0.7,substantive_comment,Multi-page file with arguments and recommendations to the agency.,"{""label"": ""comment"", ""confidence"": 0.7, ""doc_type"": ""substantive_comment"", ""rationale"": ""Multi-page file with arguments and recommendations to the agency.""}",openai/gpt-oss-120b,v2,content_parts,
HHS-ONC-2026-0001-0003,attachment_1.pdf,HHS-ONC-2026-0001\comment_attachments\HHS-ONC-2026-0001-0003\attachment_1.pdf,183193,comment,0.9,substantive_comment,File ID suggests a public comment submission with arguments.,"{""label"": ""comment"", ""confidence"": 0.9, ""doc_type"": ""substantive_comment"", ""rationale"": ""File ID suggests a public comment submission with arguments.""}",openai/gpt-oss-120b,v2,content_parts,
HHS-ONC-2026-0001-0004,attachment_1.pdf,HHS-ONC-2026-0001\comment_attachments\HHS-ONC-2026-0001-0004\attachment_1.pdf,146893,comment,0.7,substantive_comment,Likely a full comment submission rather than a simple cover letter.,"{""label"": ""comment"", ""confidence"": 0.7, ""doc_type"": ""substantive_comment"", ""rationale"": ""Likely a full comment submission rather than a simple cover letter.""}",openai/gpt-oss-120b,v2,content_parts,
HHS-ONC-2026-0001-0011,attachment_1.pdf,HHS-ONC-2026-0001\comment_attachments\HHS-ONC-2026-0001-0011\attachment_1.pdf,39143,comment,0.9,substantive_comment,Likely multi-page submission with arguments to HHS.,"{""label"": ""comment"", ""confidence"": 0.9, ""doc_type"": ""substantive_comment"", ""rationale"": ""Likely multi-page submission with arguments to HHS.""}",openai/gpt-oss-120b,v2,content_parts,
HHS-ONC-2026-0001-0012,attachment_1.pdf,HHS-ONC-2026-0001\comment_attachments\HHS-ONC-2026-0001-0012\attachment_1.pdf,267727,comment,0.85,substantive_comment,File ID suggests a public comment submission to the rule.,"{""label"": ""comment"", ""confidence"": 0.85, ""doc_type"": ""substantive_comment"", ""rationale"": ""File ID suggests a public comment submission to the rule.""}",openai/gpt-oss-120b,v2,content_parts,
HHS-ONC-2026-0001-0014,attachment_1.pdf,HHS-ONC-2026-0001\comment_attachments\HHS-ONC-2026-0001-0014\attachment_1.pdf,142900,comment,0.7,substantive_comment,Likely a full comment submission based on docket naming.,"{""label"": ""comment"", ""confidence"": 0.7, ""doc_type"": ""substantive_comment"", ""rationale"": ""Likely a full comment submission based on docket naming.""}",openai/gpt-oss-120b,v2,content_parts,
HHS-ONC-2026-0001-0016,attachment_1.pdf,HHS-ONC-2026-0001\comment_attachments\HHS-ONC-2026-0001-0016\attachment_1.pdf,29830,comment,0.85,substantive_comment,Multi-page file with arguments and recommendations to the agency.,"{""label"": ""comment"", ""confidence"": 0.85, ""doc_type"": ""substantive_comment"", ""rationale"": ""Multi-page file with arguments and recommendations to the agency.""}",openai/gpt-oss-120b,v2,content_parts,
HHS-ONC-2026-0001-0015,attachment_1.pdf,HHS-ONC-2026-0001\comment_attachments\HHS-ONC-2026-0001-0015\attachment_1.pdf,9177,comment,0.7,substantive_comment,Likely a multi-page submission with arguments to the agency.,"{""label"": ""comment"", ""confidence"": 0.7, ""doc_type"": ""substantive_comment"", ""rationale"": ""Likely a multi-page submission with arguments to the agency.""}",openai/gpt-oss-120b,v2,content_parts,
