UID,human_author_probability,reason
UID-0001,85,"This document exhibits the hallmarks of a professional policy submission drafted by a trade association (the American Psychiatric Association). The text is highly specific to the organization's mission, referencing internal policy priorities (e.g., 42 CFR Part 2, psychotherapy notes, and specific SAMHSA guidance) that are characteristic of expert human advocacy. The structure follows a standard regulatory comment format, and the language—while formal—contains the specific, nuanced vocabulary of psychiatric clinical practice and health policy. The document ends abruptly mid-sentence ('clinicians worry about to'), which is a common artifact of a human user copy-pasting a draft from a word processor into a web form, rather than an AI, which would typically generate a complete, polished conclusion."
UID-0002,80,"This comment exhibits strong markers of human authorship, specifically the integration of personal narrative ('Since being diagnosed with Parkinson’s disease 24 years ago') with specific, idiosyncratic policy critiques. The text contains minor formatting inconsistencies (e.g., the abrupt cutoff at the end, inconsistent spacing, and the slightly awkward phrasing 'Yet this another area where the healthcare industry has failed') that are characteristic of human drafting rather than the polished, error-free output typical of LLMs. The author uses specific, non-generic examples like the Parkinson’s Progression Markers Initiative and the Familial Adenomatous Polyposis (FAP) case study, which demonstrate a level of domain-specific expertise and personal investment that aligns with the persona of a patient advocate. While the structure is organized, it lacks the 'perfect' rhetorical balance or the repetitive, overly-cautious hedging often found in AI-generated policy responses."
UID-0003,85,"This document exhibits the hallmarks of a professional regulatory submission drafted by a trade association or policy firm. The text includes specific, granular references to federal regulations (e.g., 42 C.F.R. pt. 2, Section 1557 of the ACA, the Consolidated Appropriations Act of 2021) and cites specific data points (e.g., 1,250 state-level AI bills in 2025). The structure follows the standard 'formal letter' convention used by industry stakeholders in federal dockets. While the prose is polished, it lacks the 'generic' or 'hallucination-prone' quality of AI; instead, it reflects the specific, repetitive, and highly focused advocacy language typical of healthcare lobbyists. The inclusion of footnotes and precise administrative details (Mail Stop, RIN numbers) is consistent with human-authored institutional filings."
UID-0004,85,"The comment exhibits the hallmarks of professional corporate legal or compliance writing. It uses specific, industry-relevant terminology ('payer networks', 'utilization management', 'liability exposure') in a context that reflects the actual operational concerns of a large pharmacy benefit manager. The structure is formal and bureaucratic, which is typical for corporate regulatory filings, rather than the overly polished, generic, or 'helpful' tone characteristic of LLMs. The arguments are grounded in specific risk-management perspectives rather than the broad, moralizing, or overly balanced 'on the one hand, on the other hand' structure often favored by AI models."
UID-0005,85,"This document exhibits the hallmarks of a professionally drafted corporate regulatory submission rather than AI-generated text. Key indicators of human authorship include: 1. Specificity of organizational context: The text is authored by named executives (a Director, CMO, and CEO) with specific institutional affiliations, which is standard for formal industry comments. 2. Domain-specific nuance: The argument regarding 'tissue retention' and the clinical workflow of 'biopsy/needle aspirations' is highly technical and grounded in the specific operational realities of pathology, rather than the generalized, high-level summaries typical of LLMs. 3. Structural idiosyncrasies: The document includes specific, real-world legislative references (S. 1399) and industry-specific associations (USCAP, DPA) integrated into a coherent policy argument. 4. Lack of 'AI-isms': The text avoids the overly polished, repetitive, or 'balanced' tone often found in AI outputs; instead, it maintains a consistent, persuasive, and slightly utilitarian tone characteristic of corporate advocacy. 5. The inclusion of specific, functional bullet points and citations indicates a human-led effort to provide actionable feedback to a federal agency."
UID-0006,85,"This document exhibits the hallmarks of a formal institutional response drafted by subject matter experts at a research organization (Regenstrief Institute). The text is characterized by specific, domain-expert terminology (e.g., LOINC, UCUM, SNOMED CT, USCDI) and a consistent, professional tone that aligns with the organization's known mission and public advocacy. The structure follows a standard regulatory submission format, including formal correspondence, specific references to internal organizational divisions, and direct answers to technical questions posed by the agency. The writing lacks the 'hallucinated' or overly generic filler often found in AI-generated policy responses; instead, it provides concrete, context-specific arguments regarding data standards and interoperability that reflect the actual work of the Regenstrief Institute."
UID-0007,80,"This document exhibits the hallmarks of a formal organizational submission rather than AI-generated content. It includes specific organizational letterhead formatting, a formal address block, and a footnote with a typo ('11961' instead of '1961'), which is characteristic of human-drafted documents. The structure is highly repetitive and formulaic, which is typical of professional policy advocacy writing rather than AI-generated prose. The content relies on specific, internal organizational processes (the 'Voices of Parkinson’s Council') and provides contact information for a specific staff member, suggesting it was prepared by an advocacy organization's policy team to reflect their specific stakeholder feedback."
UID-0008,85,"This document exhibits the hallmarks of a professional corporate submission from a major software vendor (Epic Systems). The text is highly specific, referencing internal proprietary programs (e.g., 'Jump Start Cloud Infrastructure'), specific metrics (e.g., '45% vs 18% growth'), and industry-specific terminology ('pajama time', 'patient acuity mix'). The structure follows a standard formal regulatory response format, including a formal header, contact information, and a clear, logical progression of policy recommendations. While the prose is polished, it lacks the 'generic' quality often found in AI-generated policy responses; instead, it reflects the specific strategic interests and marketing voice of a large healthcare IT firm. The inclusion of specific, granular data points and the consistent branding throughout the document strongly suggest it was drafted by a corporate policy or legal team."
UID-0009,80,"The document exhibits the hallmarks of a professional corporate regulatory submission rather than AI-generated content. Key indicators of human authorship include: 1. The inclusion of specific, verifiable corporate metrics (e.g., '40+ NHS Trusts', '6.7 million patients' lives') which are characteristic of internal company reporting; 2. The integration of a specific, pre-existing Citizen Petition link, which serves as the primary argumentative anchor for the text; 3. The use of highly specific regulatory citations (e.g., 21 C.F.R. § 865.5950) and precise product codes (e.g., POK, MYN, QBS), which reflect the specialized knowledge of a regulatory affairs team; 4. The document structure, including page numbering and formal headers, is consistent with standard industry practice for formal docket submissions; 5. The text contains a minor formatting error ('multiple su') at the very end, which is a common artifact of human copy-pasting or document truncation, rather than the polished, complete output typically produced by AI models."
UID-0010,80,"This document exhibits the hallmarks of a formal institutional submission from a large labor union (AFSCME). The structure, including the formal letterhead, specific regulatory docket references, and detailed footnotes citing contemporary news and academic sources, is characteristic of professional policy advocacy. The tone reflects the specific institutional interests of a labor union—focusing on worker autonomy, liability, and the impact of technology on labor markets—rather than the generic, balanced, or overly cautious tone often produced by AI. While the writing is polished, it is consistent with the standard output of a professional policy department drafting a formal response to a federal RFI."
