UID,human_author_probability,reason
SYNTH-0001,95,"The comment exhibits strong markers of human authorship, specifically from a specialized policy organization. It consists of a standard, accurately formatted organizational letterhead followed by a single, highly dense, and expertly crafted thesis statement. It completely lacks the verbosity, formulaic structure, and filler language typical of AI-generated text. The vocabulary and argumentation ('condition any reimbursement incentives... on mandatory pre-deployment bias auditing') reflect deep, specific domain expertise and current tech-policy discourse. Furthermore, the extreme brevity of the body (a single sentence) is highly unusual for AI, which tends to generate multi-paragraph responses with predictable introductions and conclusions unless strictly constrained by a prompt."
SYNTH-0002,90,"The comment is a single, highly dense sentence that directly states a specific policy demand on behalf of a named professional organization. It uses politically charged, advocacy-specific terminology ('hospital cost-extraction over patient care') which reflects a distinct human grievance rather than the neutral, balanced, or overly verbose style typical of AI generation. The brevity and punchiness are characteristic of human-written organizational advocacy or form-letter campaigns."
SYNTH-0003,90,"The comment exhibits numerous hallmarks of authentic human writing. The opening sentence is a long, organically structured narrative that mimics natural human speech and frustration ('My mother spent three months... because... and not one of them... until...'). It uses highly natural, colloquial medical phrasing ('pulled her old films', 'sent everyone running') that AI rarely generates in formal regulatory comments. The anecdote is highly specific and grounded ('semi-retired radiologist in Middletown'), and the transition to the policy argument is punchy and slightly cynical ('The people who profit from these systems are not the people who get hurt when they fail'), which reflects genuine human advocacy. Furthermore, the text completely lacks typical AI markers such as balanced rhetorical triads, overly formal transitions, or predictable vocabulary."
SYNTH-0004,90,"The comment exhibits several strong indicators of human authorship: 1. Extreme brevity and conciseness, lacking the typical verbosity, preamble, or concluding summaries of AI models; 2. Highly specific institutional attribution (Rutgers University's health economics working group); 3. Sharp, politically charged rhetorical phrasing ('regulatory choice with identifiable victims') that feels distinctly human; 4. Use of plain-text ALL CAPS headings rather than AI's default markdown formatting."
SYNTH-0005,20,"1. Dense, single-sentence structure that perfectly synthesizes a citation, a policy warning, and an impact statement without any natural human phrasing. 2. Use of the phrase 'measurable, compounding harm' (AI models frequently use 'compounding' to describe negative effects). 3. Reliance on the cliché 'most vulnerable patients' as a concluding emotional appeal, a standard LLM trope in healthcare policy text. 4. Suspiciously generic organizational reference ('affiliated dental advocacy network') paired with a highly specific statistic ('2.3 times higher'), a hallmark of AI hallucination used to create false authority. 5. Overly polished bureaucratic phrasing ('accelerating adoption without independent governance mechanisms') that lacks any human idiosyncrasies or conversational tone."
SYNTH-0006,95,"The comment exhibits numerous hallmarks of authentic human authorship and lacks any discernible AI-generated features. It uses natural, colloquial phrasing ('eight months back,' 'got wrong calls,' 'that big insurance company') rather than the formal, overly polished vocabulary typical of AI. The narrative flows organically from a highly specific local anecdote (Cascade County, Montana) to a slightly vague but accurate recollection of a national news story, perfectly mimicking human memory and conversational argumentation. Furthermore, the text lacks the predictable, balanced rhetoric, transitional adverbs, and formulaic concluding summaries commonly produced by language models."
SYNTH-0007,90,"The comment exhibits strong markers of human authorship, particularly in its concise, direct advocacy tone. It lacks the typical verbosity, balanced 'both sides' rhetoric, and predictable transition words common in AI-generated text. The phrasing is punchy and politically specific ('confronting who bears the cost', 'that pattern will not self-correct'), which is highly characteristic of a policy director or advocate writing on behalf of a professional association. It gets straight to the policy demand without any unnecessary filler."
SYNTH-0008,95,"The comment exhibits numerous hallmarks of authentic human writing and lacks any discernible AI features. The narrative is grounded in highly specific, mundane details (Muncie, a left hand trembling differently) rather than the broad, generalized anecdotes AI typically generates. The syntax is driven by genuine emotional frustration, utilizing effective sentence fragments ('Two weeks.') and conversational, polysyndetic phrasing ('they're exhausted, or scared, or they don't speak English, or they don't have someone like me...'). Furthermore, the casual but accurate reference to real-world journalism ('ProPublica and others have reported on it') and the punchy, imperative conclusion ('Use it.') completely bypass the balanced, summarizing structures typical of LLMs."
SYNTH-0009,90,"The comment is highly likely to be human-written. It is extremely concise, lacking the typical verbosity, filler phrases, or balanced rhetorical structures common in AI-generated text. The use of the third person ('Robert Hall... submits these comments') is a standard convention for formal regulatory docket submissions, often used when summarizing an attached document or submitting via a proxy. The terminology ('prospective bias auditing', 'clinically diverse populations') is highly specific, domain-appropriate for a biostatistician, and deployed with high information density without any unnecessary exposition."
SYNTH-0010,95,"The comment exhibits numerous hallmarks of authentic human authorship, particularly from a specialized regulatory affairs team. It uses highly specific, natural industry jargon ('duplicate alert cascades,' 'go-live,' 'bench testing,' 'performance drift') and grounds its arguments in plausible, granular internal data (a Q3 2024 survey of 22 partners, 14 hours per deployment). Stylistically, it employs sentence fragments for rhetorical effect ('EHR rollouts, sepsis prediction algorithms...'), a common human writing technique that AI models typically avoid in favor of complete, balanced sentences. The tone conveys a distinct, pragmatic weariness ('familiar and uncomfortable conclusion') that reflects genuine administrative frustration rather than AI's typically neutral or artificially enthusiastic voice. Finally, the inclusion of document formatting artifacts (the 'Page 2' footer) strongly indicates the text was copy-pasted from a genuine, human-drafted PDF or Word document."
