UID,human_author_probability,reason
SYNTH-0001,98,"The comment exhibits several strong markers of human authorship. First, it opens with a sentence fragment ('Three months fighting a VA algorithm...'), which is highly characteristic of informal, emotionally driven human writing but extremely rare in AI-generated text, which defaults to complete, grammatically standard sentences. Second, the tone is raw, frustrated, and cynical, lacking the measured, neutral, or artificially balanced rhetoric typical of AI. Finally, the phrasing is colloquial and uses evocative, slightly alarming imagery ('never leave once they're inside') rather than standard policy jargon or predictable AI vocabulary."
SYNTH-0002,90,"The comment's extreme brevity, directness, and use of standard organizational advocacy phrasing ('On behalf of...', 'we urge HHS...') strongly indicate human authorship. It lacks the typical verbosity, balanced clauses, and rhetorical fluff commonly generated by AI models, reading exactly like a human-drafted policy talking point or form-letter template."
SYNTH-0003,90,"The comment exhibits the precise, dense, and highly specific language typical of a formal institutional submission drafted by a legal or policy committee. Phrases like 'welcomes this opportunity to respond' are standard human-written boilerplate for regulatory dockets. Furthermore, the text efficiently utilizes domain-specific terminology ('prospective real-world validation data,' 'benchmark performance') without the unnecessary fluff, over-explanation, or flowery adjectives that typically characterize AI-generated text."
SYNTH-0004,90,"The comment is a single, highly focused sentence that directly states a specific organization's policy position. It lacks the typical verbosity, filler phrases, or overly balanced rhetorical structures common in AI-generated text. The vocabulary and syntax ('urges HHS to establish,' 'leave harmed patients without recourse') are standard, precise institutional advocacy language, strongly indicating it was written by a human professional."
SYNTH-0005,95,"The comment exhibits highly natural, conversational phrasing ('makes zero sense to me', 'figured out what was wrong') and lacks typical AI vocabulary or structural formulas. It uses varied sentence lengths, including dramatic, staccato short sentences ('He remembered what he read. He looked at her when she walked through the door.') which AI models rarely generate without explicit prompting. The anecdote contains highly specific, idiosyncratic details (a specialist in Albuquerque, connective tissue issues, being told to 'stretch more') that reflect lived human experience rather than the generalized hypotheticals typical of AI. The emotional transition from personal frustration to policy critique feels authentic and lacks the perfectly balanced, overly formal transitions commonly found in AI-generated text."
SYNTH-0006,95,"The comment exhibits highly human rhetorical features, particularly its direct, punchy syntax ('Not in theory. In practice, with a name attached.') and complete lack of typical AI verbosity or diplomatic hedging. It includes a grounded, slightly cynical anecdote about circular liability discussions in corporate meetings, which reflects lived human experience rather than AI-generated generalizations. The vocabulary is straightforward and impactful, avoiding common LLM buzzwords, and the structure is extremely concise, getting straight to the core argument without the introductory fluff or summarizing conclusions typical of AI models."
SYNTH-0007,90,"The comment is a single, direct sentence that reads like a thesis statement from a formal institutional letter. It uses standard legal/regulatory boilerplate ('respectfully submits') combined with a highly idiosyncratic phrasing ('how much AI medicine should contain') that treats AI almost like an ingredient. An AI model would typically default to smoother, more generic phrasing like 'the appropriate level of AI integration' or 'the role of AI in clinical practice.' Furthermore, it lacks any typical AI hallmarks such as throat-clearing, balanced rhetoric, or predictable structural patterns."
SYNTH-0008,95,"Several features strongly indicate human authorship. First, the text contains natural grammatical imperfections that AI rarely produces unless specifically prompted, such as a comma splice in the opening sentence ('My name is Carol White, I retired...') and a missing question mark at the end of the final interrogative sentence. Second, the comment includes highly specific, localized details ('cardiology floor at Robert Wood Johnson in New Brunswick') rather than the generic personas AI tends to adopt. Finally, the phrasing is conversational, pragmatic, and grounded in physical reality ('push back on what the screen says'), completely lacking the formal, balanced rhetoric, predictable transitions, or vocabulary typical of AI-generated text."
SYNTH-0009,85,"The comment consists of a single, dense sentence that perfectly matches the boilerplate style of corporate regulatory submissions (e.g., 'submits these comments to register serious concern'). The phrase 'HHS should already recognize' contains a subtle adversarial bite and institutional critique characteristic of human lawyers or lobbyists, whereas AI typically defaults to more deferential language. Furthermore, the heavy use of stacked noun phrases ('documented health IT failure patterns') reflects human bureaucratic writing rather than the smoother, more balanced phrasing typical of LLMs."
SYNTH-0010,90,"The comment exhibits strong markers of human authorship. It directly challenges the underlying premise of the RFI, a common tactic for organizational advocacy that AI rarely initiates unprompted. The text lacks typical AI filler, predictable transitions, and balanced 'both-sides' rhetoric. Instead, it uses punchy, varied sentence structures ('No model processes that.') and demonstrates a profound, emotionally resonant understanding of the clinical encounter ('relying on another human being to notice what remains unspoken'). The phrasing is tight, persuasive, and characteristic of a professional policy advocate."
SYNTH-0011,100,"The comment exhibits highly specific, localized personal details (Iowa Methodist, Grundy County farmer) that are typical of authentic human anecdotes. It demonstrates deep, slightly cynical domain knowledge regarding health IT systems and billing codes, avoiding the typical hedging or balanced rhetoric of AI. The sentence structure is varied and punchy ('That should matter to this agency.'), and the text completely lacks common AI transition words, overly formal vocabulary, or formulaic paragraph structures. The authentic moral voice and natural narrative flow strongly indicate human authorship."
SYNTH-0012,95,"The comment exhibits numerous hallmarks of authentic human writing. It includes highly specific, idiosyncratic local and personal details (working at a reference desk, a specific hospital in Baton Rouge, a specific doctor's name) that ground the narrative in reality. The core argument relies on a deeply human observation about non-verbal medical care (diagnosing based on 'posture in the chair' and noticing 'wincing'), which connects naturally to the critique of AI. The vocabulary is plain, direct, and conversational, completely lacking the structural rigidity, balanced rhetoric, and overly formal or predictable vocabulary typical of AI-generated text."
SYNTH-0013,100,"This comment exhibits zero features of AI generation and multiple hallmarks of authentic human authorship. First, it uses natural colloquialisms and non-standard grammar ('we been on the same crew') that AI typically avoids. Second, it includes a realistic, informal explanation of how the user found the docket via a Facebook link. Third, the text cuts off abruptly mid-sentence ('before'), which strongly indicates a human hitting a character limit or accidentally submitting early—a highly uncharacteristic trait for an AI. Finally, the 'Page 1 of 1' artifact at the end is a classic sign of a human copying and pasting from a PDF receipt or print view of a web form."
SYNTH-0014,90,"The most definitive sign of human authorship is the inclusion of a document header/footer artifact ('Equity in Healthcare Coalition Comments | HHS AI RFI | Page 2') embedded in the text, which strongly indicates this was scraped or copy-pasted from a formally drafted PDF attachment. Additionally, the text features highly nuanced policy critique ('the sequencing question the RFI does not ask directly'), cites specific organizational survey data, and uses sophisticated rhetorical parallelism ('The concern here is not... The concern is that...') typical of professional human policy advocates."
SYNTH-0015,95,"The comment exhibits strong markers of human authorship, particularly from an academic or policy advocacy background. It uses highly specific, domain-accurate jargon ('population-stratified equity impact assessments') and employs a sharp, forceful rhetorical antithesis ('is not a neutral policy choice. It is an affirmative decision...') that is characteristic of expert human advocacy. Furthermore, the text is concise, lacks typical AI filler or predictable transitional phrases, and directly attributes the comment to a specific, real-world institutional sub-group."
SYNTH-0016,90,"The comment exhibits strong markers of human authorship, particularly its extreme conciseness and sharp, specific policy critique regarding administrative data (appeal statistics). The final sentence ('HHS is making a foreseeable choice') is a punchy, slightly accusatory rhetorical flourish that implies moral or legal liability—a nuance typical of human advocates but rarely generated by AI, which tends to be verbose, overly diplomatic, and explanatory. The opening is standard human-written organizational boilerplate."
SYNTH-0017,100,"The comment exhibits overwhelming evidence of human authorship. Most notably, the text cuts off abruptly at the end ('catches what the system'), which is a classic artifact of a human user hitting a character limit in a web form or accidentally submitting prematurely—something AI models do not do unless explicitly prompted. Additionally, the text uses highly idiomatic and conversational phrasing ('missed clean', 'which is always', 'My ask is simple') rather than the formal, balanced rhetoric typical of AI. The inclusion of specific, verifiable local details (Hennepin Healthcare in Minneapolis) and deep, cynical domain knowledge (EHR rollouts, sepsis algorithms, alert fatigue) further grounds the text in lived human experience. There are zero discernible features of AI generation."
SYNTH-0018,95,"The comment exhibits numerous hallmarks of human persuasive writing that AI models typically avoid unless heavily prompted. These include the use of ALL CAPS for natural emphasis ('BEFORE', 'DECADES', 'LESS', 'FIRST'), sentence fragments for rhetorical punch ('Not self-certification by the vendor.'), and conversational, slightly informal transitions ('Here is what I keep coming back to.'). The integration of a specific personal anecdote with precise domain knowledge (citing Sjoding et al., NEJM 2020) feels organic. Furthermore, the text employs highly original, nuanced phrasing ('computational authority that feels objective', 'accurate on average is not the same thing as safe') and maintains a direct, passionate advocacy tone without relying on the generic platitudes, predictable transitions ('Furthermore', 'In conclusion'), or overly balanced paragraph structures typical of AI-generated text."
SYNTH-0019,20,"1. Formulaic three-paragraph argumentative structure (Problem introduction -> Impact on vulnerable populations -> Call to action directed at the specific agency). 2. Generic persona adoption ('In my 40 years as a nurse in Nebraska') that lacks messy, specific, real-world details; the supporting example provided ('a monitor flagging an irregular rhythm') is highly sanitized and reads like a textbook example rather than a genuine personal anecdote. 3. Perfectly balanced rhetoric and an overly smooth narrative arc transitioning seamlessly from personal experience to broad policy argument. 4. Use of an em dash for illustrative expansion ('correctly—like a monitor'), a frequent LLM stylistic quirk. 5. Overly polished, sanitized vocabulary that lacks the natural idiosyncrasies, emotional rawness, or structural imperfections typical of genuine public comments from individuals (e.g., 'mandating individual human accountability', 'blanket coverage denials'). 6. Predictable, generalized appeal to vulnerable demographics ('Elderly and low-income individuals') framed in standard policy-speak rather than grounded personal observation."
SYNTH-0020,10,"1. Hallucinated persona and location: The letter claims to be from a 'Chief Medical Officer, Regional Operations' for Epic Systems Corporation located in Providence, RI, but Epic is famously centralized in Verona, WI, and does not have this executive structure or regional headquarters. 2. Contextual contradiction and hallucinated corporate stance: The comment purports to be from Epic Systems but cites the Wong et al. 2021 JAMA paper—which famously criticized Epic's own proprietary sepsis model—in a detached, third-party manner ('proprietary sepsis prediction models') to advocate for stricter HHS regulations. A genuine corporate submission would not cite a highly publicized critique of its own product in this oblivious, third-person manner to argue for regulatory hurdles. 3. Highly formulaic, perfectly balanced bureaucratic rhetoric typical of AI generation (e.g., 'balance the objective of reducing administrative friction against the patient safety risks inherent in accelerated implementation frameworks'). 4. Over-reliance on typical LLM academic phrasing and vocabulary ('underscore a fundamental reality,' 'necessitating rigorous local tuning,' 'highlight significant vulnerabilities'). 5. Mechanical transitions and cohesive devices ('Furthermore,' 'Such validation results,' 'thereby preventing situations'). 6. Unnaturally smooth narrative arc that moves flawlessly from a broad example (pulse oximeters) to a specific citation (sepsis models) to a corporate synthesis ('Epic recognizes...') to a policy recommendation, lacking the idiosyncratic focus, legal boilerplate, or formatting typical of genuine corporate regulatory comments."
SYNTH-0021,90,"The comment exhibits numerous hallmarks of human authorship. It uses natural, slightly colloquial phrasing ('we keep seeing', 'just create more administrative hurdles', 'clear rules here') rather than the formal, overly polished vocabulary typical of AI. The tone is direct and slightly frustrated, reflecting genuine lived experience ('manage the daily disruptions of new software'). It lacks the formulaic structure, balanced rhetoric, and common buzzwords frequently found in AI-generated text, opting instead for concise, straightforward advocacy."
SYNTH-0022,90,"The comment is extremely concise and direct, lacking the typical verbosity, hedging, or formulaic structure of AI-generated text. The concluding phrase 'patients need someone who will answer' is a highly human rhetorical choice, utilizing simple, emotionally resonant language rather than the bureaucratic or overly formal phrasing an AI would typically select (e.g., 'patients require a mechanism for accountability'). Additionally, the transition 'The fundamental point is this:' is punchy and conversational, characteristic of authentic human advocacy writing."
SYNTH-0023,95,"The comment exhibits overwhelmingly human linguistic features and lacks any typical AI markers. The narrative flows naturally without the formulaic structure (e.g., introduction, three supporting points, summary conclusion) commonly found in AI text. The phrasing is highly conversational and colloquial ('whatever algorithm', 'too late to do much', 'connecting the dots'). Furthermore, the emotional resonance is grounded and understated, particularly the evocative detail about 'what Ruth's voice sounds like when she's scared,' which contrasts sharply with the generic or overly melodramatic emotional appeals typically generated by AI. The inclusion of specific, unforced personal details (a specialist in Burlington, a 71-year-old neighbor) strongly points to genuine citizen advocacy."
SYNTH-0024,95,"The comment exhibits the highly specific, assertive rhetorical style of professional legal advocacy. Phrases like 'HHS inaction here is itself a policy choice, and the Department should name it as such' are pointed, critical, and deeply characteristic of human advocates rather than the neutral or overly balanced tone typical of AI models. Additionally, the precise alignment of the organization (National Immigration Law Center) with the specific vulnerable populations mentioned (non-English-speaking patients) reflects authentic, targeted organizational advocacy. It lacks any generic filler, predictable structural tropes, or sycophantic language common in AI-generated text."
SYNTH-0025,100,"The comment exhibits classic hallmarks of genuine human authorship: highly colloquial phrasing ('My buddy Hank', 'got sent home'), a very specific and idiosyncratic localized anecdote ('by a computer in Minot'), and a blunt, unpolished, and cynical policy demand. It completely lacks the formal structure, balanced rhetoric, and generic phrasing typical of AI-generated text."
SYNTH-0026,15,"1. Anachronistic and encyclopedic corporate identification: The inclusion of '(formerly Emdeon)' is a classic hallmark of LLMs pulling from Wikipedia-style training data; the company rebranded in 2015, making this parenthetical highly unnatural for a contemporary corporate regulatory comment about modern AI. 2. Uncharacteristically colloquial tone for a major corporation: Uses informal phrasing ('trust the AI too much,' 'catch this bias earlier,' 'clear up this legal uncertainty') instead of the heavily vetted, precise legal terminology (e.g., 'automation bias,' 'mitigate algorithmic disparities') expected from a multi-billion dollar entity's policy team. 3. Formulaic paragraph structure: Exhibits a perfectly balanced two-paragraph layout that cleanly divides into 'context/problem' and 'solution/recommendation,' complete with a classic AI pivot sentence ('Our primary goal here is to address...'). 4. Lack of standard regulatory boilerplate: Completely missing the typical formal administrative framing, such as docket numbers, section headers, or standard legal pleasantries (e.g., 'Change Healthcare appreciates the opportunity to submit comments...'). 5. Overly smooth narrative arc: Transitions too seamlessly from broad industry observations to specific policy recommendations without the dense, highly specific, and structured formatting usually found in corporate RFI responses."
SYNTH-0027,95,"The comment exhibits numerous hallmarks of authentic human writing. It uses conversational, colloquial phrasing ('got misdiagnosed', 'down in Birmingham', 'honestly just') and includes natural syntactic quirks, such as starting a sentence with 'Because' to continue a previous thought and omitting a question mark at the end of an interrogative clause ('who does this actually help.'). The narrative flows organically from a specific, grounded personal anecdote to a cynical but realistic critique of corporate behavior, lacking the balanced, overly polished, or formulaic structure typical of AI-generated text. There are zero discernable AI buzzwords or structural markers."
SYNTH-0028,10,"1. Severe persona inconsistency and tonal whiplash: The author establishes a 'folksy' persona as a 76-year-old retired heavy construction worker from West Virginia, but abruptly pivots to citing a highly specific academic/medical-sociology case study (racial bias in pulse oximeters) and using formal regulatory terminology ('tested across all patient demographics'). 2. Unnatural density of policy talking points: The comment systematically and perfectly ticks off every major academic and regulatory concern regarding AI in healthcare in just three paragraphs: explainability, data privacy, training data bias, and algorithmic insurance denials. 3. Formulaic structure: The text follows a highly predictable AI essay structure: an opening establishing a synthetic persona, a personal anecdote to introduce the topic, a pivot to a broader systemic issue with a textbook example, and a concluding paragraph with neatly packaged policy recommendations for the agency (HHS). 4. Overly smooth narrative arc: The text transitions flawlessly from a personal complaint about physical 'wear and tear' to a highly specific critique of machine learning training data and algorithmic bias. 5. Synthetic transitional phrasing: Uses classic AI essay transitions like 'Another issue is...' and 'Look at what happened with...' to bridge personal anecdotes with broader policy arguments."
SYNTH-0029,90,"The comment consists of a single, complex, slightly run-on sentence typical of human-drafted policy advocacy. The phrasing 'because what we have observed... is that' is a natural human drafting construct, whereas an AI would likely use more direct, formal phrasing (e.g., 'because observations indicate'). The specific, grounded organizational perspective combined with targeted equity arguments reflects human political advocacy rather than generic AI text generation. There is a complete absence of typical AI buzzwords, overly balanced clauses, or robotic transitions."
SYNTH-0030,95,"The comment exhibits strong markers of human authorship. It relies on a highly specific, localized anecdote, using the colloquial shorthand 'the Bronx-Lebanon' for the hospital, which is typical of local healthcare workers but unlikely for an AI unless specifically prompted. The use of a specific patient name ('Mr. Delgado') in a medical context also points away from AI, which often defaults to generic hypotheticals to avoid simulating privacy violations. Furthermore, the phrase 'nobody will be left holding the bag' is a natural, cynical use of an idiom to express frustration over liability, lacking the sanitized, balanced, or overly formal tone typical of AI-generated text."
