UID,human_author_probability,reason
UID-0001,85,"This comment exhibits strong markers of human authorship from an established organization. The American Psychiatric Association's voice is consistent throughout, with domain-specific expertise evident in discussions of HIPAA, 42 CFR Part 2, SAMHSA regulations, and psychiatric-specific concerns about behavioral health data. The writing contains natural organizational imperfections: the final bullet point 'Fear of clinical harm: clinicians worry about to' is incomplete/cut off mid-sentence, which is characteristic of human drafting and editing rather than AI generation. The document demonstrates authentic institutional knowledge (references to ONC/ASTP, specific regulatory frameworks, reimbursement mechanisms) and nuanced policy reasoning that reflects genuine stakeholder concerns. The tone balances cautious optimism with legitimate privacy concerns in ways that reflect real professional deliberation. While the document is well-structured and professional, it lacks the polished perfection, balanced rhetoric patterns, and narrative smoothness typical of AI-generated policy comments. The incomplete final sentence is particularly telling—AI models typically generate complete outputs, whereas this appears to be a human-drafted document that was cut off or incompletely edited before submission."
UID-0002,82,"This comment exhibits strong markers of human authorship. The writer demonstrates genuine personal investment through a 24-year history with Parkinson's disease, which grounds the argument in lived experience rather than abstract policy discussion. The writing contains natural inconsistencies and imperfections typical of human composition: the comment cuts off mid-word at the end ('treatmen'), suggesting an actual submission error rather than AI-generated text; there are minor organizational quirks like the somewhat abrupt transition between dimensions; and the tone varies naturally between formal policy language and more passionate advocacy (e.g., 'prescription for failure' and the FAP patient choice discussion). The specific examples are deeply detailed and contextual (PPMI study, FAP treatment costs, UK regulatory comparison) in ways that suggest personal research and conviction rather than pattern-matching. The argument structure, while organized into four dimensions, doesn't follow the perfectly balanced, symmetrical patterns typical of AI generation. The writer makes specific, sometimes bold claims (e.g., 'Let the scientists study science, not the FDA requirements') that reflect individual conviction. The document also contains a date inconsistency (January 16, 2026 comment on December 2026 RFIs) that appears to be a genuine human error rather than an AI artifact. Overall, the combination of personal narrative, specific domain knowledge, natural writing imperfections, and passionate advocacy strongly suggests human authorship."
UID-0003,25,"1. Formulaic organizational structure with numbered footnotes and formal legal citations (90 Fed. Reg. at 60108) that reads like a template response; 2. Perfectly balanced rhetorical sections with parallel construction ('Patient safety and trust are paramount...appropriate oversight is critical'); 3. Excessive use of hedging phrases ('we believe that,' 'it is critical that,' 'wherever possible') distributed uniformly throughout; 4. Overly smooth transitions between policy arguments with no natural digressions or tangential thoughts typical of human advocacy; 5. Rule-of-three pattern in opening paragraph ('improved quality, efficiency, access, and outcomes'); 6. Repetitive use of 'harmonize/harmonization' (appears 5+ times) suggesting keyword stuffing; 7. Unnaturally comprehensive coverage of all requested RFI topics without any selective emphasis or passion for particular issues; 8. Absence of specific anecdotes, case studies, or concrete examples from actual HTI member experiences despite claiming to represent an alliance; 9. Overly formal register maintained throughout with no variation in tone or voice; 10. Suspiciously complete sentence structure and grammar with no colloquialisms, contractions, or natural speech patterns; 11. The comment cuts off mid-sentence at the end ('Even when AI tools demonstrate clear') which is unusual for a formal submission but consistent with AI generation limits; 12. Copula avoidance pattern ('establishing a national standard...is critical' rather than 'we need'); 13. Perfectly balanced arguments presenting both innovation concerns and safety concerns in equal measure without genuine advocacy bias."
UID-0004,75,"This comment exhibits several characteristics consistent with human authorship from a corporate compliance professional: (1) Authentic organizational voice—the writer speaks on behalf of Express Scripts with specific reference to their compliance team's monitoring practices, which reflects genuine institutional knowledge; (2) Nuanced risk assessment that balances competing interests (acknowledging pressure for AI adoption while advocating for caution), showing the kind of pragmatic corporate reasoning typical of in-house counsel; (3) Specific, concrete examples (sepsis prediction models, prior authorization tools, demographic variances) that demonstrate domain expertise rather than generic AI-generated examples; (4) Natural corporate jargon and phrasing ('friction from inconsistent payer standards,' 'liability exposure,' 'cost-benefit analyses') used authentically rather than formulaically; (5) The argument structure reflects genuine institutional concerns about regulatory gaps rather than a balanced rhetorical exercise—the writer is making a specific corporate interest argument; (6) Minor stylistic variations and slightly awkward constructions ('we note that this RFI was published with less visibility than is typical') that suggest real drafting rather than polished AI output. The comment reads as a genuine corporate compliance submission with appropriate caution and specificity, though some of the measured tone and structured argumentation could theoretically be AI-assisted. However, the institutional specificity and authentic risk-management framing outweigh those considerations."
UID-0005,75,"This comment exhibits strong markers of human authorship, particularly from a corporate entity with genuine subject matter expertise. Key indicators of human writing include: (1) Specific, detailed technical knowledge about histopathological staining procedures (H&E, Masson's Trichrome, immunohistochemical stains) that reflects genuine domain expertise rather than generic AI knowledge; (2) Authentic corporate voice with identified contributors (Rochelle Wagner PhD, James Kelley MD PhD, Yair Rivenson PhD) and clear organizational affiliation, suggesting accountability; (3) Natural organizational flow with some structural imperfections typical of human writing (e.g., the transition between reimbursement discussion and education could be smoother); (4) Specific, verifiable references to legislation (Health Tech Investment Act S. 1399, NTAP) and organizations (AdvaMed, USCAP, DPA) with actual URLs provided; (5) Nuanced policy arguments that show understanding of real healthcare system constraints (supply chain dependencies on China/India, CLIA fee structures, repeat biopsy costs); (6) Some awkward phrasing that feels authentically human rather than polished ('becomes a bottleneck to all subsequent procedures due to the time involved'); (7) The bullet points use checkmark symbols (❖) rather than standard formatting, suggesting manual document creation; (8) Specific patient care scenarios (breast, melanoma, colorectal biopsies) mentioned naturally within context. Minor AI-like features include some slightly formal transitions and comprehensive coverage of talking points, but these are consistent with a well-prepared corporate submission rather than AI generation."
UID-0006,85,"This comment exhibits strong markers of human authorship from an established research organization. The writing demonstrates: (1) authentic institutional voice and letterhead formatting consistent with formal regulatory submissions; (2) specific, detailed technical knowledge about health data standards (LOINC, UCUM, SNOMED CT, USCDI) that reflects genuine expertise rather than generic AI knowledge; (3) natural organizational structure with clear sectioning and numbered points that serve a practical purpose rather than following formulaic patterns; (4) nuanced, evidence-based arguments that acknowledge complexity (e.g., 'AI not as a standalone technology, but as a capability that depends on...'); (5) appropriate use of jargon and terminology ('semantic interoperability,' 'computable data,' 'real-world evidence') that feels earned rather than inserted; (6) realistic acknowledgment of trade-offs and challenges rather than overly optimistic framing; (7) specific contact information and organizational attribution that would be unusual for AI-generated content; (8) varied sentence structure and paragraph lengths that reflect natural professional writing; (9) substantive engagement with the specific RFI questions showing careful reading and targeted response; (10) minor stylistic choices like the em dash usage and copula constructions that feel organic to the author's voice rather than AI-imposed patterns. The document reads as a genuine institutional response from domain experts with real stakes in the policy outcome."
UID-0007,82,"This comment exhibits strong markers of human authorship from an established organization. The letter follows standard formal business correspondence conventions with proper letterhead, date, recipient address, and signature block. The writing demonstrates authentic organizational voice with specific references to the 'Voices of Parkinson's Council' and internal feedback processes that would be difficult for an AI to fabricate convincingly. The content reflects genuine stakeholder concerns with natural variation in emphasis—some sections are more detailed while others are more concise, which is typical of human-drafted policy comments. The language includes organizational-specific terminology and references (e.g., 'V of P members,' specific statistics about PD cases) that suggest real institutional knowledge. The structure, while organized, has the slightly uneven pacing of human writing rather than the perfectly balanced flow typical of AI generation. Minor imperfections like the footnote numbering and the somewhat repetitive phrasing of concerns ('members expressed interest,' 'members expressed concern') reflect authentic organizational communication patterns. The substantive policy recommendations are grounded in specific patient feedback rather than generic AI-generated suggestions. The contact information and signature from a named executive officer adds credibility consistent with legitimate organizational submissions."
UID-0008,25,"1. Overly polished corporate structure with perfect formatting, letterhead placement, and professional hierarchy that reads like a template; 2. Suspiciously smooth narrative arc moving from problem identification ('Getting to On') through solutions ('Documenting ROI,' 'Bridging the Adoption-to-ROI Gap,' 'Making Local Validation Possible') with each section perfectly balanced in length and argumentation; 3. Heavy use of parallel construction and rule-of-three patterns throughout (e.g., 'improved clinician productivity, reduced documentation burden, lower burnout'; 'happier clinicians are less likely to burn out or leave, reducing recruitment and onboarding costs'); 4. Suspiciously specific statistics presented without citation (e.g., '45% month-over-month growth,' '17 times more AI resources,' '5.5 on average') that conveniently support the vendor's position; 5. Rhetorical framing that presents vendor interests (Epic's Jump Start program) as aligned with public health goals, with the vendor's own product serving as the primary case study; 6. Overly explanatory tone in technical sections (e.g., the extended explanation of probability thresholds in medical deterioration forecasting) that reads like AI clarifying concepts rather than an expert assuming audience knowledge; 7. Perfect transitions between sections with no false starts, tangents, or authentic hesitation; 8. The comment cuts off mid-sentence at the end ('In 2024, for example, Epic released an open-source t') which is unusual for a formal regulatory submission but consistent with AI generation limits or copy-paste errors; 9. Consistent use of passive voice and nominalization ('Realizing these benefits requires,' 'The Department could address') creating distance from direct advocacy; 10. Absence of any genuine pushback, uncertainty, or acknowledgment of counterarguments that would be typical in authentic stakeholder comments."
UID-0009,25,"1. Excessive corporate self-promotion in opening paragraphs with specific metrics (3,400+ clinicians, 6.7 million patients, 40+ NHS Trusts, 8 FDA clearances) presented in a formulaic manner typical of AI-generated corporate communications; 2. Overly structured response format with numbered questions and subsections that follows a template-like pattern; 3. Repetitive use of hedging phrases ('we believe,' 'we recognize and commend') that appear strategically placed rather than naturally occurring; 4. Perfectly balanced paragraph transitions with consistent length and complexity, particularly in the regulatory discussion sections; 5. Extensive use of parenthetical citations and regulatory references inserted with mechanical precision rather than organic integration; 6. The phrase 'Clinician-led and patient-first' reads as a corporate tagline rather than authentic language; 7. Unnaturally smooth progression from problem statement to proposed solution with no genuine pushback or uncertainty; 8. Repetitive structural patterns: 'This has resulted in...' followed by multiple consequences listed in parallel construction; 9. The comment abruptly cuts off mid-sentence at the end ('may involve multiple su'), suggesting either AI generation interrupted or copy-paste error typical of automated document processing; 10. Absence of any personal voice, anecdotes, or genuine stakeholder perspective despite claiming to represent a company with extensive real-world experience; 11. Overly formal register maintained throughout with no variation in tone or conversational elements; 12. Strategic deployment of compliance language ('we recognize,' 'we commend') that feels performative rather than authentic."
UID-0010,82,"This comment exhibits strong markers of human authorship. The writing reflects genuine organizational voice and advocacy perspective from AFSCME, with authentic concerns about labor impacts and worker autonomy that align with union priorities. The tone is appropriately formal for a regulatory filing while maintaining natural variation in sentence structure and paragraph length. The argument builds organically from framing concerns to specific examples (Nature study, Reuters investigation) to concrete policy principles, showing the kind of iterative reasoning humans employ when developing positions. The footnotes and citations feel naturally integrated rather than systematically placed. Specific phrases like 'carefree attitude,' 'get it right,' and 'hype and boosterism' carry colloquial authenticity. The closing sentiment about 'getting there together' reflects genuine human optimism rather than formulaic AI-generated conclusions. While the document is well-organized and professional, it lacks the overly-polished transitions, perfectly balanced rhetoric, or systematic structural patterns that would suggest AI generation. The occasional awkward phrasing ('uses resulting in a high degree of success have been even more limited') and the natural flow of argumentation support human authorship. The specific labor-focused concerns and the emphasis on worker override authority reflect authentic union priorities that would be difficult for an AI to generate without explicit prompting toward this particular organizational perspective."
