UID,human_author_probability,reason
SYNTH-0001,100,"This comment exhibits zero features of AI generation and is definitively human. The most striking human characteristic is the author's decision to hijack an RFI about AI to vent about a personal, tangential grievance (a 22% increase in their BlueCross supplemental coverage), sandwiching their actual policy feedback between these complaints. The text contains natural grammatical imperfections, such as a colloquial tense shift ('January 2025, I open the invoice and just stared at it'). Furthermore, the professional insights (speaking as a hospital CFO dealing with conflicting legal counsel and multiple compliance structures) are highly specific, grounded, and lack the generic, high-level summaries typical of AI. The vocabulary is entirely natural, utilizing idioms ('move the needle', 'rounding error') without relying on any common AI buzzwords or overly balanced rhetorical structures."
SYNTH-0002,95,"The comment exhibits numerous hallmarks of authentic human authorship. It opens with a meta-commentary expressing genuine, nuanced frustration with the regulations.gov bureaucratic process, a perspective AI rarely generates unprompted. The narrative voice is conversational and natural, using phrases like 'That said,' 'we come up mostly empty,' and 'I genuinely can't tell.' It includes highly specific, grounded anecdotes (e.g., a 47-page technical document from early 2024 with a single footnote about demographics) and demonstrates a deep, practical understanding of niche specialty dynamics (the tension between reconstructive and cosmetic procedures in plastic surgery, and specific geographic disparities like rural New Mexico vs. Boston). Finally, the author's concluding admission that their comment 'doesn't map neatly onto the specific question numbers in the RFI' is a classic human trait, whereas AI typically adheres rigidly to provided structures or attempts to answer every question systematically."
SYNTH-0003,95,"The comment exhibits numerous strong indicators of human authorship. It uses a highly authentic, conversational yet professional advocacy tone, including natural sentence fragments ('Maybe.') and direct, unhedged critiques ('That's not a technology problem. That's a power problem.'). The author frequently admits uncertainty ('I'm genuinely uncertain', 'I don't have a clean answer'), which is highly uncharacteristic of default AI generation. Furthermore, the text is deeply grounded in specific, real-world organizational context (National Alliance for Caregiving, Georgia focus groups, 2024 radiology survey data) and critiques the underlying premise of the RFI rather than just formulaically answering its prompts. It lacks typical AI structural markers, transitional clichés, and overly balanced rhetoric."
SYNTH-0004,100,"The comment exhibits zero discernible features of AI-generated text. It is highly specific, grounded in a personal anecdote (brother Dale in Bismarck), and introduces a highly original, idiosyncratic analogy based on the author's profession as a librarian (comparing medical AI to library databases and the 'reference interview'). The tone is conversational, authentic, and emotionally resonant, utilizing natural colloquialisms ('That's where I'm coming from,' 'Like if you just get,' 'I get it. Rural healthcare is stretched thin. That's real.'). Furthermore, the author demonstrates genuine humility by acknowledging their lack of technical expertise regarding specific regulatory mechanisms, which is a distinctly human trait rarely replicated by AI. The sentence structure is organically varied, and the text lacks any of the predictable structural markers, balanced rhetoric, or generic policy-speak typical of language models."
SYNTH-0005,90,"The comment exhibits several strong markers of human authorship. Most notably, the author explicitly admits a lack of knowledge about billing and defers to other commenters ('I genuinely don't know enough about the billing side to comment responsibly... That's probably a separate comment from someone who lives in that world'), which demonstrates a meta-awareness of the public comment process that AI models rarely generate unprompted. The tone is naturally conversational and slightly cynical, using organic colloquialisms ('going on three years now', 'connect these dots', 'tidy policy fix'). The text completely lacks the rigid, balanced structure typical of AI generation (e.g., no formulaic transitions, no neat summary conclusion), and instead flows like a genuine, slightly meandering but focused human thought process. Sentences frequently begin with conjunctions ('Because...', 'And...') in a natural, rhetorical manner."
SYNTH-0006,95,"The comment exhibits numerous hallmarks of sophisticated human writing and lacks any discernible AI-generated features. It critiques the underlying philosophical premise of the RFI (challenging the 'throughput' assumption) rather than just answering the prompt, which is a highly human rhetorical move. The text uses natural, punchy sentence variations and repetition for emphasis (e.g., 'It never was.', 'Nearly twice as likely.'), breaking from the typical balanced, predictable cadence of LLMs. Furthermore, it cites highly specific internal organizational data (a Q3 2024 policy review, 12% of 2,100 member organizations) and references specific clinical concepts (therapeutic alliance research from the 1990s, clinical training pipelines). The transitions are conceptual rather than formulaic, and the tone is authoritative, passionate, and deeply grounded in practical advocacy."
SYNTH-0007,95,"The comment exhibits highly specific, localized details (Tucson, Tohono O'odham Nation) and a deeply authentic conversational tone. The author acknowledges the scope of the RFI but deliberately pivots to a personal grievance regarding Pharmacy Benefit Managers (PBMs) and prior authorizations, which is a classic hallmark of human public comments. The phrasing includes natural colloquialisms ('eating up a huge chunk,' 'kicking back the request,' 'I've said my piece') and repetition for emphasis ('Forty-five minutes. Forty-five minutes.') that feel genuinely emotional rather than synthetically generated. The meta-awareness of the comment's relevance ('I know this is a tangent') and the personal sign-off further solidify it as human-written."
SYNTH-0008,90,"The comment exhibits numerous hallmarks of authentic human authorship, particularly from an academic expert. It uses highly idiomatic and natural phrasing ('chewed up by the gap') and employs rhetorical fragments for emphasis ('Not post-hoc. Prospective.') which AI models rarely generate without highly specific prompting. The text contains profound, domain-specific philosophical observations ('borrowed from the general cultural prestige of quantitative methods') that reflect genuine lived experience rather than an LLM's typical surface-level summary of automation bias. Furthermore, it uses highly specific, spontaneous illustrative examples ('rural Alabama') instead of the generic categories ('underrepresented groups') preferred by AI. The absence of standard AI structural markers, combined with a passionate, slightly frustrated, and deeply authoritative tone, strongly indicates a human writer."
SYNTH-0009,20,"1. Perfectly balanced rhetoric and punchy aphorisms characteristic of AI writing (e.g., 'That's not human review. That's a queue.', 'That's not a minor software bug. That's a structural problem...'). 2. Extensive use of the rule of three and parallel structures for persuasive effect (e.g., 'a name, a credential, a person', 'They don't have... They don't know... And the system...'). 3. The narrative arc is unnaturally smooth and comprehensive, seamlessly hitting every major AI healthcare ethics talking point (racial bias in training data, insurance denial automation, RFI framing, automation bias/deskilling of nurses, vulnerable populations) within a very short text. 4. The opening anecdote feels like a textbook, idealized example of algorithmic bias rather than a messy real-world clinical scenario. 5. Inclusion of a classic AI caveat paragraph to provide artificial nuance ('I'm not anti-technology. I use clinical decision support tools...'). 6. Overuse of the word 'genuinely' to simulate human earnestness ('genuinely cannot tell', 'genuinely don't', 'genuinely helpful'). 7. The abrupt cut-off at the end ('updated at least') is highly characteristic of an AI generation hitting a max token limit during output."
SYNTH-0010,98,"The comment exhibits numerous hallmarks of authentic human writing. It uses conversational, direct phrasing ('The framing of this RFI bothers me', 'One more thing I want to flag') and highly evocative, idiosyncratic language that AI typically avoids in formal contexts ('It shows up in the body of the nurse at 10pm'). The text includes highly specific, recent factual references (the nH Predict algorithm, the National Multiple Sclerosis Society's 2024 Summit) that ground the argument in real-world advocacy. Finally, the comment cuts off abruptly mid-sentence at the very end ('...capture the benefit and workers and patients'), which is a classic artifact of a human user hitting a character limit in a submission form or making a copy-paste error, whereas AI models reliably generate complete, neatly concluded responses."
